run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9324960753532182)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9419152276295133)",0.5525902668759811
1,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9293563579277865)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9434850863422292)",0.5133437990580848
2,"([81, 84, 89, 92, 93, 94, 95, 99, 104], 0.9466248037676609)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9481946624803768)",0.5416012558869702
3,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9058084772370487)","([82, 84, 89, 92, 93, 94, 95, 97, 99, 104], 0.9120879120879121)",0.5164835164835165
4,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9387755102040817)","([84, 89, 92, 93, 94, 95, 96, 99, 104], 0.945054945054945)",0.5416012558869702
5,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9136577708006279)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9277864992150706)",0.5243328100470958
6,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9262166405023547)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9403453689167975)",0.5259026687598116
7,"([81, 83, 84, 89, 92, 93, 94, 95, 99, 104], 0.945054945054945)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.945054945054945)",0.5510204081632653
8,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9293563579277865)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9372056514913658)",0.5510204081632653
9,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9199372056514914)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9434850863422292)",0.5164835164835165
10,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9167974882260597)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9340659340659341)",0.5117739403453689
11,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9230769230769231)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9293563579277865)",0.5196232339089482
12,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9245283018867925)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9371069182389937)",0.5235849056603774
13,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9323899371069182)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9418238993710691)",0.529874213836478
14,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9089481946624803)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9309262166405023)",0.5023547880690737
15,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9512578616352201)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9622641509433962)",0.5235849056603774
16,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9246467817896389)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9277864992150706)",0.5463108320251178
17,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9199372056514914)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9309262166405023)",0.5149136577708007
18,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9167974882260597)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9387755102040817)",0.5180533751962323
19,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9277864992150706)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.945054945054945)",0.5478806907378336
20,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9120879120879121)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9277864992150706)",0.5353218210361067
21,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9246467817896389)","([82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9262166405023547)",0.49921507064364207
22,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9246467817896389)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9356357927786499)",0.5306122448979592
23,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9324960753532182)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9419152276295133)",0.4835164835164835
24,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9262166405023547)","([74, 82, 84, 89, 92, 99, 104], 0.8822605965463108)",0.5117739403453689
25,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9261006289308176)","([82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9276729559748428)",0.49056603773584906
26,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9010989010989011)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9434850863422292)",0.5133437990580848
27,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9215070643642073)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9309262166405023)",0.5306122448979592
28,"([81, 83, 84, 89, 92, 93, 94, 95, 99, 104], 0.9324960753532182)","([82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9262166405023547)",0.521193092621664
29,"([81, 83, 84, 89, 92, 93, 94, 95, 99, 104], 0.9481946624803768)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9403453689167975)",0.5306122448979592
30,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9215070643642073)","([82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9293563579277865)",0.5133437990580848
31,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9293563579277865)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9419152276295133)",0.49607535321821034
32,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9120879120879121)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9293563579277865)",0.5306122448979592
33,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9262166405023547)","([82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9340659340659341)",0.5306122448979592
34,"([81, 84, 89, 92, 93, 94, 95, 99, 104], 0.9230769230769231)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9372056514913658)",0.5039246467817896
35,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9339622641509434)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9481132075471698)",0.5487421383647799
36,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9277864992150706)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9419152276295133)",0.5196232339089482
37,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9372056514913658)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9513343799058085)",0.5243328100470958
38,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9309262166405023)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.945054945054945)",0.5180533751962323
39,"([81, 83, 84, 89, 92, 93, 94, 95, 99, 104], 0.9277864992150706)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9230769230769231)",0.5086342229199372
40,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9072327044025157)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9261006289308176)",0.5440251572327044
41,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9309262166405023)","([82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9387755102040817)",0.5243328100470958
42,"([83, 84, 89, 92, 93, 94, 95, 99, 104], 0.9277864992150706)","([82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9419152276295133)",0.5070643642072213
43,"([82, 84, 89, 92, 93, 94, 95, 104], 0.9276729559748428)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9465408805031447)",0.550314465408805
44,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9262166405023547)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9340659340659341)",0.5133437990580848
45,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9182389937106918)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9276729559748428)",0.5251572327044025
46,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9183673469387755)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9387755102040817)",0.5274725274725275
47,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9230769230769231)","([82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9340659340659341)",0.5149136577708007
48,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9152276295133438)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.945054945054945)",0.5353218210361067
49,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9136577708006279)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9309262166405023)",0.5243328100470958
