run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([4, 5, 10, 12, 15], 0.9281463522151201)","([3, 4, 5, 10, 12, 13, 15], 0.9263830725148777)",0.2605245757108221
1,"([3, 4, 5, 10, 12, 15], 0.9274851223275292)","([1, 3, 4, 5, 10, 12, 15], 0.926603482477408)",0.2596429358607009
2,"([4, 5, 10, 12, 15], 0.921957671957672)","([1, 3, 4, 5, 10, 12, 15], 0.9223985890652557)",0.25617283950617287
3,"([4, 5, 10, 12, 15], 0.9250440917107584)","([1, 3, 4, 5, 10, 12, 15], 0.9265873015873016)",0.25617283950617287
4,"([4, 7, 10, 12, 14, 15], 0.9235177430019836)","([1, 3, 4, 5, 10, 12, 15], 0.9188891337888473)",0.27463081331276173
5,"([4, 5, 10, 12, 15], 0.9241789728895746)","([1, 3, 4, 5, 7, 10, 12, 15], 0.92087282345162)",0.26515318492395856
6,"([4, 5, 10, 12, 15], 0.9259422525898171)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9248402027771655)",0.26493277496142825
7,"([4, 5, 10, 12, 15], 0.923721340388007)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9232804232804233)",0.26146384479717816
8,"([3, 4, 5, 10, 12, 15], 0.9290279920652413)","([1, 3, 4, 5, 10, 12, 15], 0.9296892219528323)",0.2642715450738373
9,"([4, 5, 7, 10, 12, 15], 0.9204320035265594)","([1, 3, 4, 5, 10, 12, 15], 0.9188891337888473)",0.27154507383733745
10,"([1, 4, 5, 10, 12, 15], 0.9274691358024691)","([1, 3, 4, 5, 10, 12, 15], 0.9259259259259259)",0.25771604938271603
11,"([4, 5, 7, 10, 12, 15], 0.9213136433766806)","([1, 3, 4, 5, 10, 12, 15], 0.920211593564029)",0.2662552347366101
12,"([1, 4, 10, 12, 14, 15], 0.9274691358024691)","([1, 3, 4, 5, 10, 12, 15], 0.925705467372134)",0.25992063492063494
13,"([1, 4, 10, 12, 14, 15], 0.9232973330394534)","([1, 3, 4, 5, 10, 12, 15], 0.9221952832268019)",0.26030416574829185
14,"([1, 2, 4, 5, 10, 12, 15], 0.9243993828521049)","([3, 4, 5, 10, 12, 13, 15], 0.9235177430019836)",0.272647123649989
15,"([4, 5, 10, 12, 15], 0.923738152964514)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9250606127396959)",0.26338990522371614
16,"([4, 5, 7, 10, 12, 15], 0.9307912717654838)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9296892219528323)",0.2558959664976857
17,"([4, 5, 10, 12, 15], 0.9283667621776505)","([1, 3, 4, 5, 10, 12, 15], 0.9257218426272867)",0.26030416574829185
18,"([4, 5, 7, 10, 12, 15], 0.9206349206349206)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9204144620811288)",0.263668430335097
19,"([4, 10, 12, 13, 15], 0.9301300418778928)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9292484020277717)",0.26493277496142825
20,"([1, 5, 10, 11, 12], 0.9177870839761957)","([1, 3, 4, 5, 10, 12, 15], 0.9261626625523474)",0.26008375578576154
21,"([1, 4, 5, 10, 12, 15], 0.9274851223275292)","([1, 3, 4, 5, 10, 12, 15], 0.9288075821027111)",0.26493277496142825
22,"([4, 5, 7, 10, 12, 15], 0.9343178311659687)","([1, 3, 4, 5, 10, 12, 15], 0.933877011240908)",0.2655940048490192
23,"([4, 5, 10, 12, 15], 0.9241789728895746)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9224156931893321)",0.25832047608551906
24,"([4, 5, 10, 12, 15], 0.9217544633017413)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9215340533392109)",0.25854088604804937
25,"([4, 10, 12, 13, 15], 0.9268238924399382)","([1, 3, 4, 5, 10, 12, 15], 0.9241789728895746)",0.26184703548600397
26,"([4, 5, 7, 10, 12, 15], 0.9281463522151201)","([1, 3, 4, 5, 10, 12, 15], 0.9272647123649989)",0.2629490852986555
27,"([1, 4, 5, 10, 12, 15], 0.9268238924399382)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9255014326647565)",0.26823892439938285
28,"([4, 5, 7, 10, 12, 15], 0.9195503636764382)","([1, 3, 4, 5, 10, 12, 15], 0.9204320035265594)",0.2508265373594886
29,"([4, 10, 12, 13, 15], 0.9283509700176367)","([3, 4, 5, 10, 12, 15], 0.9281305114638448)",0.26146384479717816
30,"([4, 5, 10, 12, 15], 0.9305555555555556)","([1, 3, 4, 5, 10, 12, 15], 0.9307760141093474)",0.2570546737213404
31,"([3, 4, 10, 12, 13, 15], 0.9228395061728395)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9215167548500882)",0.2621252204585538
32,"([3, 4, 5, 10, 12, 15], 0.9259259259259259)","([1, 3, 4, 5, 7, 10, 12, 15], 0.923941798941799)",0.26322751322751325
33,"([3, 4, 10, 11, 12, 15], 0.9296892219528323)","([1, 3, 4, 5, 10, 12, 15], 0.9301300418778928)",0.2607449856733524
34,"([3, 4, 10, 12, 13, 15], 0.9272647123649989)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9235177430019836)",0.2605245757108221
35,"([4, 5, 10, 12, 15], 0.9239585629270443)","([1, 3, 4, 5, 10, 12, 15], 0.9243993828521049)",0.25854088604804937
36,"([1, 4, 10, 11, 12, 15], 0.9250606127396959)","([3, 4, 5, 10, 12, 13, 15], 0.9246197928146352)",0.266916464624201
37,"([4, 5, 10, 12, 15], 0.927689594356261)","([1, 3, 4, 5, 7, 10, 12, 15], 0.9241622574955908)",0.2515432098765432
38,"([4, 10, 12, 13, 15], 0.9248402027771655)","([1, 3, 4, 5, 10, 12, 15], 0.9243993828521049)",0.25832047608551906
