run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([0, 2, 3], 0.9174964438122333)","([0, 1, 3, 4, 6, 8], 0.7069701280227596)",0.18349928876244664
1,"([0, 2, 3], 0.9190340909090909)","([0, 1, 3, 4, 6, 8], 0.7301136363636364)",0.12926136363636365
2,"([0, 2, 3], 0.9247159090909091)","([0, 1, 3, 4, 6], 0.7173295454545454)",0.16335227272727273
3,"([0, 2, 3], 0.9075391180654339)","([0, 1, 3, 4, 6, 8], 0.7425320056899004)",0.17496443812233287
4,"([0, 2, 3], 0.8991477272727273)","([0, 3], 0.6619318181818182)",0.1534090909090909
5,"([0, 2, 3], 0.9018492176386913)","([0, 1, 3, 4, 6, 8], 0.7140825035561877)",0.155049786628734
6,"([0, 2, 3], 0.9132290184921764)","([0, 1, 3, 6, 8], 0.716927453769559)",0.15362731152204837
7,"([0, 2, 3], 0.90625)","([0, 1, 3, 4, 6, 8], 0.7230113636363636)",0.18323863636363635
8,"([0, 2, 3], 0.9118065433854907)","([0, 3, 4, 6, 8], 0.705547652916074)",0.17496443812233287
9,"([0, 2, 3], 0.90625)","([0, 1, 3, 4, 6, 8], 0.7059659090909091)",0.15767045454545456
10,"([0, 2, 3], 0.9346590909090909)","([0, 1, 3, 4, 6, 8], 0.7258522727272727)",0.17755681818181818
11,"([0, 2, 3], 0.8778409090909091)","([0, 1, 3, 4, 6, 8], 0.7059659090909091)",0.17755681818181818
12,"([0, 2, 3], 0.8961593172119487)","([0, 1, 3, 4, 6, 8], 0.7425320056899004)",0.16358463726884778
13,"([0, 2, 3], 0.9160739687055477)","([0, 1, 3, 4, 6, 8], 0.7254623044096729)",0.16216216216216217
14,"([0, 2, 3], 0.9161931818181818)","([0, 1, 3, 4, 6, 8], 0.7215909090909091)",0.1846590909090909
15,"([0, 2, 3], 0.9089615931721194)","([0, 1, 3, 4, 6, 8], 0.7183499288762447)",0.17496443812233287
16,"([0, 2, 3], 0.9176136363636364)","([0, 1, 3, 4, 6, 8], 0.7272727272727273)",0.16051136363636365
17,"([0, 2, 3], 0.9046941678520626)","([0, 1, 3, 4, 6, 8], 0.7354196301564723)",0.16500711237553342
18,"([0, 2, 3], 0.9018492176386913)","([0, 1, 3, 4, 6, 8], 0.7155049786628734)",0.15362731152204837
19,"([0, 2, 3], 0.9174964438122333)","([0, 1, 3, 4, 6, 8], 0.732574679943101)",0.14509246088193456
20,"([0, 2, 3], 0.9019886363636364)","([0, 1, 3, 4, 6, 8], 0.7002840909090909)",0.1690340909090909
21,"([0, 2, 3], 0.89900426742532)","([0, 1, 3, 4, 6, 8], 0.7155049786628734)",0.1593172119487909
22,"([0, 2, 3], 0.9360795454545454)","([0, 3, 4, 6], 0.6988636363636364)",0.18039772727272727
23,"([0, 2, 3], 0.918918918918919)","([0, 1, 3, 4, 6, 8], 0.7197724039829303)",0.16500711237553342
24,"([0, 2, 3], 0.9203413940256046)","([0, 1, 3, 4, 6, 8], 0.7268847795163584)",0.15362731152204837
25,"([0, 2, 3], 0.9133522727272727)","([0, 1, 3, 4, 6, 8], 0.7386363636363636)",0.17755681818181818
26,"([0, 2, 3], 0.9161931818181818)","([0, 1, 3, 4, 6, 8], 0.7272727272727273)",0.15767045454545456
27,"([0, 2, 3], 0.9004267425320057)","([0, 1, 3, 4, 6, 8], 0.7112375533428165)",0.18207681365576103
28,"([0, 2, 3], 0.9019886363636364)","([0, 1, 3, 4, 6, 8], 0.7372159090909091)",0.17613636363636365
29,"([0, 2, 3], 0.9046941678520626)","([0, 3, 4, 6, 8], 0.7211948790896159)",0.13086770981507823
30,"([0, 2, 3], 0.90625)","([0, 1, 3, 4, 6, 8], 0.7159090909090909)",0.15482954545454544
31,"([0, 2, 3], 0.9318181818181818)","([0, 1, 3, 4, 6, 8], 0.6903409090909091)",0.17045454545454544
32,"([0, 2, 3], 0.903271692745377)","([0, 1, 3, 4, 6, 8], 0.6955903271692745)",0.16216216216216217
33,"([0, 2, 3], 0.9161931818181818)","([0, 1, 3, 4, 6, 8], 0.7230113636363636)",0.1534090909090909
34,"([0, 2, 3], 0.914651493598862)","([0, 1, 3, 4, 6, 8], 0.7425320056899004)",0.14793741109530584
35,"([0, 2, 3], 0.9260312944523471)","([0, 1, 3, 4, 6, 8], 0.701280227596017)",0.16500711237553342
