run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([3], 0.9666666666666667)","([2], 0.6333333333333333)",0.23333333333333334
1,"([2, 3], 0.9666666666666667)","([2], 0.6333333333333333)",0.3333333333333333
2,"([2, 3], 0.9655172413793104)","([2, 3], 0.9655172413793104)",0.27586206896551724
3,"([3], 0.5517241379310345)","([2, 3], 0.5517241379310345)",0.27586206896551724
4,"([2, 3], 0.9333333333333333)","([2], 0.6)",0.2
5,"([2, 3], 1.0)","([2, 3], 1.0)",0.3
6,"([2, 3], 0.9655172413793104)","([2, 3], 0.9655172413793104)",0.2413793103448276
7,"([2, 3], 0.9666666666666667)","([1, 2, 3], 0.9666666666666667)",0.26666666666666666
8,"([3], 0.5862068965517241)","([2, 3], 0.5862068965517241)",0.27586206896551724
9,"([2, 3], 0.9666666666666667)","([1, 2, 3], 1.0)",0.3
10,"([2, 3], 1.0)","([1, 2], 0.6)",0.3
11,"([2, 3], 0.9310344827586207)","([1, 2, 3], 0.9655172413793104)",0.27586206896551724
12,"([2, 3], 0.9333333333333333)","([2], 0.4666666666666667)",0.2
13,"([1, 3], 0.9)","([2], 0.6666666666666666)",0.26666666666666666
14,"([2, 3], 0.9666666666666667)","([2], 0.6)",0.26666666666666666
15,"([2, 3], 0.9666666666666667)","([2, 3], 0.6)",0.23333333333333334
16,"([3], 1.0)","([2], 0.6333333333333333)",0.26666666666666666
17,"([2, 3], 0.9310344827586207)","([2], 0.6206896551724138)",0.2413793103448276
18,"([3], 0.9655172413793104)","([2, 3], 0.9655172413793104)",0.3103448275862069
19,"([2], 0.9)","([2, 3], 0.6)",0.26666666666666666
20,"([2, 3], 0.9333333333333333)","([2], 0.5666666666666667)",0.26666666666666666
21,"([2], 0.9)","([1, 2, 3], 1.0)",0.3333333333333333
22,"([2, 3], 0.9655172413793104)","([1, 2, 3], 0.9655172413793104)",0.27586206896551724
23,"([2, 3], 0.9333333333333333)","([2], 0.6333333333333333)",0.3
24,"([2, 3], 0.9666666666666667)","([2], 0.6333333333333333)",0.3333333333333333
25,"([2], 0.8620689655172413)","([2, 3], 0.6551724137931034)",0.3103448275862069
26,"([2, 3], 0.9666666666666667)","([2, 3], 0.9666666666666667)",0.26666666666666666
27,"([2], 0.6)","([2], 0.6)",0.26666666666666666
28,"([2, 3], 0.9333333333333333)","([2], 0.6)",0.23333333333333334
29,"([2], 0.8666666666666667)","([1, 2, 3], 0.8666666666666667)",0.3
30,"([2, 3], 0.9666666666666667)","([2], 0.6333333333333333)",0.23333333333333334
31,"([2, 3], 0.9333333333333333)","([1, 2, 3], 0.9333333333333333)",0.23333333333333334
32,"([2, 3], 1.0)","([2], 0.5333333333333333)",0.23333333333333334
33,"([2, 3], 0.9333333333333333)","([2], 0.6666666666666666)",0.3333333333333333
34,"([2], 0.5862068965517241)","([2, 3], 1.0)",0.27586206896551724
35,"([2, 3], 1.0)","([2, 3], 1.0)",0.23333333333333334
36,"([3], 0.6333333333333333)","([1, 2, 3], 0.9666666666666667)",0.26666666666666666
37,"([3], 0.5666666666666667)","([2], 0.6)",0.26666666666666666
38,"([2, 3], 1.0)","([2], 0.6)",0.3
39,"([3], 0.6896551724137931)","([2, 3], 0.4827586206896552)",0.2413793103448276
40,"([2, 3], 0.9333333333333333)","([2], 0.6333333333333333)",0.3333333333333333
41,"([2, 3], 1.0)","([2, 3], 1.0)",0.16666666666666666
42,"([2, 3], 0.9655172413793104)","([1, 2, 3], 0.9655172413793104)",0.27586206896551724
43,"([2], 0.5333333333333333)","([2, 3], 0.5333333333333333)",0.23333333333333334
44,"([3], 0.5666666666666667)","([2, 3], 0.4666666666666667)",0.13333333333333333
45,"([2, 3], 0.9333333333333333)","([2, 3], 0.9333333333333333)",0.2
46,"([3], 0.6)","([1, 2, 3], 0.9666666666666667)",0.3333333333333333
47,"([2, 3], 0.9333333333333333)","([2, 3], 0.5333333333333333)",0.23333333333333334
48,"([2, 3], 0.9310344827586207)","([2], 0.5862068965517241)",0.2413793103448276
49,"([3], 0.9310344827586207)","([2, 3], 1.0)",0.27586206896551724
