run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([6, 12], 0.8611111111111112)","([0, 6, 10, 11, 12], 0.9444444444444444)",0.3055555555555556
1,"([6, 9, 12], 0.9722222222222222)","([0, 6, 10, 11, 12], 1.0)",0.5
2,"([6, 9], 0.8055555555555556)","([0, 6, 9, 11, 12], 0.9166666666666666)",0.3333333333333333
3,"([6, 9], 0.9428571428571428)","([0, 6, 9, 10, 11, 12], 0.9714285714285714)",0.4857142857142857
4,"([6, 9], 0.8857142857142857)","([0, 6, 9, 11, 12], 0.9714285714285714)",0.4
5,"([6, 9], 0.9722222222222222)","([0, 6, 9, 10, 11, 12], 0.9722222222222222)",0.4444444444444444
6,"([6, 9], 0.9722222222222222)","([0, 6, 10, 11, 12], 0.9444444444444444)",0.4722222222222222
7,"([0, 6], 0.8888888888888888)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.3888888888888889
8,"([6, 9, 12], 1.0)","([0, 6, 9, 12], 1.0)",0.3333333333333333
9,"([0, 6], 0.9714285714285714)","([0, 6, 9, 10, 11, 12], 0.9714285714285714)",0.45714285714285713
10,"([0, 6], 0.9722222222222222)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.3888888888888889
11,"([0, 6], 0.9166666666666666)","([0, 6, 10, 11, 12], 1.0)",0.4166666666666667
12,"([6, 12], 0.8)","([0, 6, 10, 11, 12], 0.9142857142857143)",0.42857142857142855
13,"([9, 12], 0.8888888888888888)","([0, 6, 9, 10, 11, 12], 0.9722222222222222)",0.4166666666666667
14,"([6, 9, 12], 1.0)","([0, 6, 9, 12], 0.9722222222222222)",0.3611111111111111
15,"([0, 6], 0.8888888888888888)","([0, 6, 10, 11, 12], 0.8888888888888888)",0.3611111111111111
16,"([0, 6], 0.8055555555555556)","([0, 6, 10, 11, 12], 0.9444444444444444)",0.3888888888888889
17,"([6, 9], 0.9166666666666666)","([0, 6, 9, 10, 11, 12], 1.0)",0.3333333333333333
18,"([0, 6], 0.8611111111111112)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.5
19,"([0, 6], 1.0)","([0, 6, 9, 10, 11, 12], 1.0)",0.4166666666666667
20,"([0, 6], 0.8888888888888888)","([0, 6, 10, 11, 12], 1.0)",0.4166666666666667
21,"([6, 9, 12], 0.9166666666666666)","([0, 6, 10, 11, 12], 0.9444444444444444)",0.4444444444444444
22,"([6, 9, 12], 0.9444444444444444)","([0, 6, 9, 10, 11, 12], 0.9444444444444444)",0.4166666666666667
23,"([6, 12], 0.9142857142857143)","([0, 6, 10, 11, 12], 0.9428571428571428)",0.34285714285714286
24,"([6, 12], 0.9428571428571428)","([0, 6, 9, 11, 12], 0.9714285714285714)",0.45714285714285713
25,"([0, 6], 0.8888888888888888)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.2222222222222222
26,"([6, 12], 0.8055555555555556)","([0, 6, 10, 11, 12], 0.9444444444444444)",0.3888888888888889
27,"([0, 6], 0.9166666666666666)","([1, 6, 9, 12], 0.9166666666666666)",0.3888888888888889
28,"([9, 12], 0.9444444444444444)","([0, 6, 9, 11, 12], 0.9444444444444444)",0.4166666666666667
29,"([6, 9, 12], 0.9722222222222222)","([0, 6, 9, 10, 11, 12], 1.0)",0.4444444444444444
30,"([0, 6], 0.8888888888888888)","([0, 6, 10, 11, 12], 0.9166666666666666)",0.3333333333333333
31,"([6, 12], 0.8888888888888888)","([0, 6, 10, 11, 12], 0.9444444444444444)",0.4444444444444444
32,"([6, 12], 0.8333333333333334)","([0, 6, 10, 11, 12], 0.9166666666666666)",0.3611111111111111
33,"([0, 6], 0.9444444444444444)","([0, 6, 10, 11, 12], 0.9166666666666666)",0.4722222222222222
34,"([6, 10, 12], 0.8888888888888888)","([6, 9, 12], 0.9722222222222222)",0.3055555555555556
35,"([6, 12], 0.9142857142857143)","([0, 6, 10, 11, 12], 1.0)",0.37142857142857144
36,"([0, 6], 0.8888888888888888)","([0, 6, 9, 10, 11, 12], 1.0)",0.2777777777777778
37,"([6, 9, 12], 0.9428571428571428)","([0, 6, 10, 11, 12], 0.8857142857142857)",0.42857142857142855
38,"([0, 6], 0.8611111111111112)","([0, 6, 10, 11, 12], 0.9444444444444444)",0.4722222222222222
39,"([0, 6], 0.9428571428571428)","([0, 6, 10, 11, 12], 0.9428571428571428)",0.5142857142857142
40,"([0, 6], 0.9444444444444444)","([0, 6, 10, 11, 12], 1.0)",0.3055555555555556
41,"([0, 6], 0.9722222222222222)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.4722222222222222
42,"([0, 6], 0.9444444444444444)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.3888888888888889
43,"([0, 6], 0.9722222222222222)","([0, 6, 10, 11, 12], 1.0)",0.4444444444444444
44,"([0, 6], 0.8888888888888888)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.3333333333333333
45,"([9, 11], 0.75)","([0, 6, 9, 11, 12], 0.8611111111111112)",0.3888888888888889
46,"([6, 9], 0.9428571428571428)","([0, 6, 9, 12], 0.9428571428571428)",0.37142857142857144
47,"([6, 9], 0.8611111111111112)","([0, 6, 9, 10, 11, 12], 0.9444444444444444)",0.4166666666666667
48,"([6, 12], 0.8857142857142857)","([0, 6, 9, 11, 12], 0.9714285714285714)",0.3142857142857143
49,"([6, 9, 12], 0.9166666666666666)","([0, 6, 10, 11, 12], 0.9722222222222222)",0.25
