run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([8, 15, 16, 17, 23], 0.8647388059701493)","([2, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32], 0.8628731343283582)",0.23880597014925373
1,"([14, 16, 17, 19, 20, 22], 0.8727272727272727)","([0, 2, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 32, 34], 0.8536130536130536)",0.23776223776223776
2,"([14, 16, 17, 19, 20, 22], 0.8791977611940298)","([0, 2, 4, 5, 6, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 32, 34], 0.8917910447761194)",0.24207089552238806
3,"([14, 15, 17, 20, 23, 28], 0.8512820512820513)","([0, 2, 4, 5, 7, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8568764568764569)",0.24242424242424243
4,"([14, 16, 17, 19], 0.8521455223880597)","([2, 4, 5, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 33, 34], 0.8507462686567164)",0.22667910447761194
5,"([15, 16, 17, 20, 22], 0.8522144522144522)","([2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 32, 34], 0.855011655011655)",0.2386946386946387
6,"([15, 16, 17, 20, 22], 0.8545454545454545)","([0, 2, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34], 0.855011655011655)",0.22843822843822845
7,"([14, 16, 17, 18, 19, 20, 22], 0.8792540792540793)","([0, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34], 0.875058275058275)",0.24242424242424243
8,"([15, 16, 17, 19, 20], 0.8596082089552238)","([0, 2, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 32, 34], 0.8731343283582089)",0.22761194029850745
9,"([16, 17, 19, 23], 0.848951048951049)","([0, 2, 4, 5, 6, 7, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8587412587412587)",0.23263403263403262
10,"([8, 9, 17, 18, 20], 0.8610722610722611)","([2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 30, 32, 34], 0.8666666666666667)",0.2191142191142191
11,"([15, 16, 17, 19, 22], 0.8596736596736597)","([0, 2, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 31, 32, 34], 0.8708624708624708)",0.2358974358974359
12,"([16, 17, 18, 19], 0.8536130536130536)","([2, 4, 6, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 30, 32], 0.862004662004662)",0.22284382284382284
13,"([12, 16, 17, 18, 19], 0.8508158508158508)","([0, 2, 4, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 29, 32], 0.8652680652680653)",0.2386946386946387
14,"([14, 16, 17, 19, 22], 0.8642723880597015)","([0, 2, 5, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8647388059701493)",0.23740671641791045
