run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([23, 27, 74, 75, 85, 93, 98, 100, 104, 135, 161, 164, 167, 196, 228], 0.8687096774193548)","([21, 23, 37, 55, 58, 59, 71, 74, 75, 76, 83, 84, 85, 90, 91, 92, 93, 98, 99, 100, 104, 119, 120, 126, 135, 146, 151, 163, 165, 166, 167, 183, 184, 188, 195, 196, 197, 200, 203, 204, 211, 212, 213, 218, 228, 229, 232, 248], 0.9025806451612903)",0.1693548387096774
1,"([23, 74, 75, 85, 93, 98, 100, 104, 135, 148, 166, 180, 184, 228, 248], 0.8690322580645161)","([12, 21, 23, 28, 37, 55, 58, 71, 74, 75, 76, 84, 90, 91, 92, 93, 99, 100, 104, 114, 115, 119, 120, 135, 150, 151, 166, 167, 168, 179, 180, 184, 188, 195, 196, 197, 200, 203, 204, 209, 212, 218, 219, 228, 229, 232, 247, 248], 0.9041935483870968)",0.16903225806451613
2,"([23, 74, 75, 85, 93, 99, 119, 164, 166, 168, 197, 228, 248], 0.8570967741935483)","([8, 21, 26, 27, 37, 55, 58, 59, 71, 74, 75, 76, 84, 90, 91, 92, 99, 100, 104, 113, 114, 115, 116, 119, 120, 131, 135, 147, 151, 164, 165, 166, 167, 180, 182, 183, 184, 195, 196, 197, 203, 204, 212, 213, 218, 228, 229, 248], 0.8993548387096775)",0.16709677419354838
3,"([23, 74, 75, 85, 93, 98, 100, 104, 120, 135, 166, 197, 228, 248], 0.8696353662471765)","([21, 22, 27, 28, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 101, 103, 104, 114, 115, 116, 119, 120, 151, 166, 184, 188, 195, 196, 197, 200, 203, 204, 212, 213, 218, 219, 228, 229, 231, 232, 247, 248], 0.888028396256857)",0.15682478218780252
4,"([23, 74, 85, 91, 93, 100, 104, 114, 135, 150, 167, 179, 184, 197, 228], 0.8635483870967742)","([21, 23, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 104, 119, 120, 135, 146, 151, 163, 166, 167, 179, 180, 184, 195, 196, 197, 200, 203, 204, 209, 212, 213, 218, 228, 229, 232, 247, 248], 0.9035483870967742)",0.16612903225806452
5,"([9, 23, 28, 74, 76, 85, 99, 104, 135, 148, 166, 197, 228, 248], 0.8693548387096774)","([21, 23, 28, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 98, 99, 100, 104, 119, 120, 126, 135, 146, 151, 163, 166, 167, 179, 183, 184, 195, 196, 197, 200, 203, 204, 212, 213, 218, 219, 228, 229, 232, 247, 248], 0.8929032258064517)",0.1706451612903226
6,"([23, 55, 75, 85, 100, 104, 114, 135, 161, 164, 167, 197, 228], 0.8551612903225806)","([21, 23, 26, 27, 37, 55, 58, 59, 71, 74, 75, 76, 84, 90, 91, 92, 93, 100, 104, 114, 115, 119, 120, 135, 151, 164, 165, 166, 167, 178, 179, 180, 182, 184, 188, 195, 196, 197, 200, 203, 204, 212, 213, 218, 219, 228, 229], 0.8806451612903226)",0.17290322580645162
7,"([8, 74, 75, 85, 93, 99, 104, 110, 135, 147, 164, 166, 197, 228, 248], 0.8767344304614392)","([21, 23, 26, 27, 28, 55, 58, 59, 71, 74, 75, 76, 84, 90, 91, 92, 100, 104, 109, 110, 120, 126, 130, 135, 136, 146, 147, 148, 151, 163, 164, 165, 166, 167, 182, 184, 188, 196, 197, 200, 203, 204, 209, 212, 213, 218, 219, 228, 229, 232, 248], 0.9048080025814779)",0.17424975798644723
8,"([23, 74, 75, 93, 101, 113, 115, 120, 147, 165, 167, 196, 228], 0.8609677419354839)","([8, 21, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 104, 115, 119, 120, 135, 146, 163, 165, 166, 183, 184, 196, 197, 203, 204, 212, 213, 218, 219, 228, 229, 231, 232, 247, 248], 0.8996774193548387)",0.16
9,"([23, 28, 74, 75, 84, 85, 93, 98, 120, 147, 166, 168, 197, 228, 248], 0.8667312036140691)","([21, 23, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 104, 119, 120, 135, 150, 151, 166, 167, 168, 172, 173, 177, 178, 179, 180, 181, 184, 188, 194, 195, 196, 197, 200, 203, 209, 211, 212, 213, 218, 219, 226, 228, 229, 230, 232, 234], 0.9064214262665375)",0.16134236850596967
