run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([4, 5, 6, 7, 15, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.9315217391304348)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9239130434782609)",0.6184782608695653
1,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 44, 51, 52, 56], 0.9130434782608695)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.9391304347826087)",0.591304347826087
2,"([4, 6, 7, 15, 16, 19, 20, 21, 24, 41, 44, 51, 52, 56], 0.9163043478260869)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9347826086956522)",0.6119565217391304
3,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9216539717083787)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 56], 0.9336235038084875)",0.6387377584330794
4,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9141304347826087)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9293478260869565)",0.6054347826086957
5,"([4, 6, 7, 15, 20, 21, 23, 24, 44, 51, 52, 56], 0.9065217391304348)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 41, 44, 45, 51, 52, 55, 56], 0.9130434782608695)",0.6032608695652174
6,"([4, 5, 6, 7, 8, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 55, 56], 0.9347826086956522)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.941304347826087)",0.6021739130434782
7,"([4, 5, 6, 7, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.9260869565217391)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9239130434782609)",0.6152173913043478
8,"([4, 5, 6, 7, 8, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.9108695652173913)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.9217391304347826)",0.6010869565217392
9,"([4, 5, 6, 7, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.9020674646354734)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9053318824809575)",0.602829162132753
10,"([4, 5, 6, 7, 15, 16, 19, 20, 21, 23, 24, 44, 51, 52, 56], 0.9010869565217391)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.9260869565217391)",0.6097826086956522
11,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9152173913043479)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.9282608695652174)",0.5880434782608696
12,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9293478260869565)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9380434782608695)",0.6228260869565218
13,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 44, 51, 52, 56], 0.9107725788900979)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.926006528835691)",0.5908596300326442
14,"([4, 5, 6, 7, 8, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.9315217391304348)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9326086956521739)",0.6076086956521739
