run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(21.94373170858275))","([2, 3, 13, 15], np.float64(15.36762203686572))","([], np.float64(60.17654070571487))"
2,"([10, 22, 30, 39], np.float64(23.306571398134352))","([10, 22, 30, 39], np.float64(16.366096222087368))","([], np.float64(64.25011308813289))"
3,"([0, 4, 5, 27], np.float64(22.06369228465944))","([0, 4, 5, 27], np.float64(16.781695479538325))","([27], np.float64(52.72258636077924))"
4,"([14, 34, 38, 49], np.float64(22.828284962770553))","([], np.float64(54.071540528494054))","([], np.float64(54.075159786813444))"
5,"([2, 11, 15, 36], np.float64(23.71658804454369))","([2, 11, 15, 36], np.float64(20.178932458006017))","([], np.float64(57.98072788799186))"
6,"([5, 17, 41, 44], np.float64(21.552177530590743))","([5, 17, 41, 44], np.float64(16.206408126796116))","([41], np.float64(54.26951571668856))"
7,"([13, 17, 29, 45], np.float64(26.476801417498244))","([], np.float64(62.331897816947894))","([], np.float64(62.339858798939645))"
8,"([10, 19, 37, 48], np.float64(22.153315156734287))","([37, 48], np.float64(42.90291299393757))","([], np.float64(62.35979731848439))"
9,"([11, 36, 38, 44], np.float64(38.51680033060451))","([38, 44], np.float64(45.145556241597006))","([], np.float64(52.483090274335176))"
10,"([27, 29, 41, 42], np.float64(22.86546747227016))","([27, 29, 41, 42], np.float64(15.981496883858936))","([], np.float64(55.56751570510157))"
11,"([19, 31, 46, 49], np.float64(21.207932712788875))","([], np.float64(53.14039690557028))","([], np.float64(53.13548861113454))"
12,"([7, 15, 38, 43], np.float64(24.650011915637478))","([7, 15, 38, 43], np.float64(18.212169757565103))","([], np.float64(59.46638113029135))"
13,"([8, 10, 31, 41], np.float64(21.842970858706206))","([], np.float64(58.268112181467416))","([], np.float64(58.267233256038686))"
14,"([16, 21, 40, 42], np.float64(22.012715321725512))","([16, 21, 40, 42], np.float64(10.311693868106111))","([], np.float64(59.69334453785623))"
15,"([11, 19, 21, 41], np.float64(21.616860039501947))","([11, 19, 21, 41], np.float64(0.05725251739969133))","([], np.float64(59.28940884903847))"
16,"([4, 9, 19, 40], np.float64(13.997883362002222))","([4, 9, 19, 40], np.float64(34.39040978244002))","([4, 9, 19, 40], np.float64(8.993547992473694))"
17,"([8, 18, 26, 27], np.float64(25.45502027834989))","([8, 18, 26, 27], np.float64(0.057642837767065885))","([], np.float64(67.60222888678504))"
