run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(11.241485312993172))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(15.152533225885913))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(11.450945606810727))","([np.int64(5), np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(16.579554280088676))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(11.81517170340307))","([np.int64(0), np.int64(3), np.int64(4), np.int64(5), np.int64(10), np.int64(27)], np.float64(16.904313473181947))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(11.937121286103313))","([np.int64(14), np.int64(30), np.int64(34), np.int64(38), np.int64(49)], np.float64(16.278663752977387))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(12.050384309444022))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(14.518598772616649))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(12.245337401833066))","([np.int64(5), np.int64(17), np.int64(24), np.int64(41), np.int64(44)], np.float64(16.2240757912133))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(12.18755644466416))","([np.int64(13), np.int64(15), np.int64(17), np.int64(29), np.int64(45)], np.float64(16.873122082580206))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(13.587572868630627))","([np.int64(10), np.int64(19), np.int64(35), np.int64(37), np.int64(38), np.int64(48)], np.float64(19.02429504400815))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(12.273864217004096))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(14.28040201980885))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(13.982877586144518))","([np.int64(27), np.int64(29), np.int64(41), np.int64(42), np.int64(46)], np.float64(16.318186455841694))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(12.212561585323112))","([np.int64(9), np.int64(17), np.int64(19), np.int64(29), np.int64(31), np.int64(35), np.int64(46), np.int64(49)], np.float64(17.644504394802055))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(12.585799205807827))","([np.int64(7), np.int64(12), np.int64(15), np.int64(38), np.int64(43)], np.float64(17.814134107973032))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(11.817516355666708))","([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(14.546293117368078))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(11.634999173974576))","([np.int64(16), np.int64(21), np.int64(40), np.int64(41), np.int64(42)], np.float64(17.39255767781563))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(11.442429334626723))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(13.492036818401347))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(12.098082282557991))","([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(13.829240490974923))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(13.300959005715518))","([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(15.965549060592275))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(11.992564931563054))","([np.int64(1), np.int64(3), np.int64(6), np.int64(15), np.int64(31), np.int64(39), np.int64(48)], np.float64(18.91436969241174))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(12.607464767309242))","([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(14.282460280222667))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(12.561777522273848))","([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(15.909805042928735))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(12.013274966256676))","([np.int64(1), np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(15.532711143702679))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(13.195895221799372))","([np.int64(4), np.int64(5), np.int64(6), np.int64(11), np.int64(46)], np.float64(16.249008191192953))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42)], np.float64(13.821784502861519))","([np.int64(0), np.int64(6), np.int64(23), np.int64(25), np.int64(31), np.int64(42)], np.float64(17.292473209371806))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(12.652114170950545))","([np.int64(1), np.int64(8), np.int64(14), np.int64(19), np.int64(35), np.int64(37)], np.float64(18.76487628775672))"
25,"([np.int64(2), np.int64(13), np.int64(20), np.int64(26)], np.float64(13.13516831065181))","([np.int64(2), np.int64(13), np.int64(20), np.int64(26), np.int64(27), np.int64(39)], np.float64(17.74406313196382))"
26,"([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(11.82610611160694))","([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(14.992289065224467))"
27,"([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(12.747192502352917))","([np.int64(6), np.int64(9), np.int64(19), np.int64(44), np.int64(49)], np.float64(17.504621261512977))"
28,"([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(12.421792885608873))","([np.int64(14), np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(15.810728010533854))"
29,"([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(11.524756785132727))","([np.int64(2), np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(17.50889925021839))"
30,"([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(10.883794125783746))","([np.int64(2), np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(15.392571175389415))"
31,"([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(12.780734543529507))","([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(16.80192627240463))"
32,"([np.int64(8), np.int64(9), np.int64(26), np.int64(37)], np.float64(13.29806432608127))","([np.int64(8), np.int64(9), np.int64(26), np.int64(37)], np.float64(15.818738796421286))"
33,"([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(13.639440794405703))","([np.int64(5), np.int64(18), np.int64(23), np.int64(44), np.int64(45)], np.float64(17.13245779533579))"
34,"([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(12.539526171878304))","([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(14.693556015099169))"
35,"([np.int64(7), np.int64(30), np.int64(47), np.int64(49)], np.float64(12.089143078646144))","([np.int64(7), np.int64(14), np.int64(30), np.int64(47), np.int64(49)], np.float64(16.899619422548028))"
36,"([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(13.341877172813557))","([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(14.593274764334785))"
