run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([24, 26, 59, 78, 106, 138, 185, 217, 229, 238, 247, 248], np.float64(3.915125937032152))","([], np.float64(111.13549913814079))","([24, 26, 59, 78, 106, 138, 185, 217, 229, 238, 247, 248], np.float64(0.18020394718991564))","([26, 32], np.float64(118.6935617340666))"
1,"([24, 84, 98, 101, 117, 126, 141, 156, 172, 178, 186, 229, 241], np.float64(3.9251200005244753))","([], np.float64(104.3977979309355))","([24, 98, 101, 117, 126, 141, 156, 172, 178, 186, 229, 241], np.float64(0.1960236188087171))","([], np.float64(104.54841451851584))"
2,"([18, 26, 52, 57, 134, 139, 146, 166, 181, 207, 216, 241], np.float64(0.7887197605738756))","([241], np.float64(105.72650789844684))","([18, 26, 52, 57, 134, 139, 146, 166, 181, 207, 216, 241], np.float64(0.23222994127373703))","([139, 241], np.float64(94.3829486297463))"
3,"([23, 69, 73, 97, 140, 166, 186, 194, 201, 228, 240, 246], np.float64(53.66470354147717))","([], np.float64(106.2102374499907))","([23, 33, 62, 73, 97, 176, 186, 194, 201, 228, 240, 246], np.float64(0.21086690641504366))","([], np.float64(106.06873113892341))"
4,"([41, 62, 67, 70, 75, 81, 153, 161, 191, 204, 207, 224], np.float64(2.1892065386871553))","([], np.float64(105.53883603851617))","([41, 62, 67, 70, 75, 81, 153, 161, 191, 204, 207, 224, 248], np.float64(0.5322047110917736))","([], np.float64(105.64082490012137))"
5,"([34, 72, 79, 81, 105, 127, 139, 164, 185, 206, 215, 232], np.float64(1.0120634048186536))","([], np.float64(106.54257487676345))","([34, 72, 79, 81, 105, 127, 139, 164, 185, 206, 215, 232], np.float64(0.4161675338951433))","([], np.float64(106.28643026844377))"
6,"([38, 42, 58, 69, 105, 160, 183, 209, 224, 229, 238, 242], np.float64(121.65537932684424))","([], np.float64(116.57830832994601))","([0, 38, 42, 105, 118, 126, 128, 140, 167, 183, 229, 238], np.float64(0.17862830298367627))","([238], np.float64(106.67537917421781))"
7,"([17, 25, 38, 121, 133, 135, 156, 161, 178, 242, 246, 248], np.float64(0.5632350496271664))","([135], np.float64(99.71622957833554))","([17, 25, 38, 121, 133, 135, 156, 161, 178, 242, 246, 248], np.float64(0.14827502023938804))","([135], np.float64(99.71036301208203))"
8,"([1, 9, 30, 86, 91, 96, 102, 110, 191, 206, 227, 245], np.float64(0.5345052509028835))","([], np.float64(103.25060845983896))","([1, 9, 30, 86, 91, 96, 102, 110, 191, 206, 227, 245], np.float64(0.11186013201012776))","([86, 245], np.float64(90.52927067903597))"
9,"([31, 34, 41, 84, 107, 118, 133, 158, 172, 184, 206, 225], np.float64(1.9386020100906227))","([], np.float64(108.25841875852812))","([31, 34, 41, 84, 107, 118, 133, 150, 158, 172, 184, 206, 225], np.float64(0.580524474198309))","([], np.float64(108.05893867644872))"
10,"([9, 26, 76, 99, 126, 150, 200, 202, 208, 228], np.float64(25.724375226515978))","([9], np.float64(113.25279197387779))","([9, 26, 76, 91, 92, 99, 121, 126, 150, 200, 202, 208, 228], np.float64(0.49717150392223813))","([9, 126, 202], np.float64(84.60323833003095))"
11,"([9, 67, 88, 109, 116, 140, 143, 186, 192, 198, 230, 248], np.float64(0.7102979297092186))","([], np.float64(107.97730532066329))","([9, 67, 88, 109, 116, 140, 143, 186, 192, 198, 230, 248], np.float64(0.29576436326899463))","([], np.float64(107.78497795294042))"
12,"([17, 18, 76, 82, 115, 126, 131, 135, 172, 176, 192, 200, 212, 214], np.float64(2.2422107602059222))","([192], np.float64(111.43909897280676))","([17, 18, 76, 82, 115, 126, 135, 172, 192, 200, 212, 214], np.float64(0.10754831579177664))","([135, 192], np.float64(100.27982246883779))"
13,"([21, 109, 131, 151, 159, 162, 184, 203, 222, 233, 243, 249], np.float64(0.560711717664913))","([243], np.float64(104.24036743164426))","([21, 109, 131, 151, 159, 162, 184, 203, 222, 233, 243, 249], np.float64(0.29124240420407477))","([131, 162, 243], np.float64(83.47531107373436))"
14,"([17, 31, 56, 117, 121, 154, 236], np.float64(88.42684871578207))","([], np.float64(111.26054736695163))","([17, 37, 45, 56, 101, 117, 154, 200, 215, 218, 229, 233, 236], np.float64(0.571956098185033))","([], np.float64(111.10732939172532))"
15,"([42, 45, 88, 107, 110, 125, 152, 202, 242, 249], np.float64(58.64454540748286))","([], np.float64(106.12698982524248))","([42, 45, 56, 88, 107, 110, 125, 132, 152, 202, 216, 249], np.float64(0.1459803987786026))","([], np.float64(106.0311580817269))"
16,"([3, 7, 11, 104, 126, 145, 153, 174, 175, 180, 230, 241], np.float64(1.4676919267020725))","([104], np.float64(130.7578487070672))","([3, 7, 11, 104, 126, 145, 153, 174, 175, 180, 230, 241], np.float64(0.09082919807601154))","([104], np.float64(118.11259029752034))"
17,"([33, 53, 58, 110, 151, 189, 190, 194, 199, 202, 207, 211], np.float64(1.1765291184311837))","([58, 190], np.float64(94.22526542043508))","([33, 53, 58, 110, 151, 189, 190, 194, 199, 202, 207, 211], np.float64(0.19728876416888227))","([58, 151, 190, 211], np.float64(84.36820939285704))"
18,"([24, 33, 37, 45, 46, 63, 69, 74, 77, 84, 121, 240], np.float64(2.3879353353780832))","([], np.float64(116.22564791812574))","([24, 33, 37, 45, 46, 63, 69, 74, 77, 84, 121, 240], np.float64(0.22622317223671914))","([], np.float64(115.82388642961283))"
