run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([2, 135, 147, 156], np.float64(0.3115160072210675))","([135, 147, 156], np.float64(10.035144772695254))","([2, 135, 147, 156], np.float64(0.024743792386074555))","([2, 135, 147, 156], np.float64(0.02586210956821585))"
1,"([91, 146, 157, 187], np.float64(0.19535600781057416))","([157], np.float64(28.689800795782716))","([91, 146, 157, 187], np.float64(0.035487515641975394))","([91, 146, 157, 187], np.float64(0.03584761041611931))"
2,"([126, 142, 145, 219], np.float64(0.44093107845057455))","([126, 142, 145, 219], np.float64(0.043546748577953626))","([126, 142, 145, 219], np.float64(0.024954956295892183))","([126, 142, 145, 219], np.float64(0.025113814576698274))"
3,"([38, 102, 148, 231], np.float64(0.43528125138648466))","([102], np.float64(25.990117693386892))","([38, 102, 148, 231], np.float64(0.05504258971809094))","([38, 102, 148], np.float64(10.736453023162307))"
4,"([23, 147, 222, 238], np.float64(0.0606564243402474))","([23, 147, 222, 238], np.float64(0.12956625943854683))","([23, 147, 222, 238], np.float64(0.04221298044129015))","([23, 147, 222, 238], np.float64(0.043096149974466105))"
5,"([4, 83, 102, 212], np.float64(0.18130504442211923))","([4], np.float64(30.189379776236855))","([4, 83, 102, 212], np.float64(0.023921928778456555))","([4, 83, 102, 212], np.float64(0.024444382304658417))"
6,"([5, 12, 154, 212], np.float64(0.16504374695190102))","([5, 12, 154, 212], np.float64(0.09223103271436156))","([5, 12, 154, 212], np.float64(0.09535843104802628))","([5, 12, 154, 212], np.float64(0.09296608158790004))"
7,"([93, 164, 190, 242], np.float64(0.6961666250265957))","([190], np.float64(27.2755705331717))","([93, 164, 190, 242], np.float64(0.13051527277145708))","([93, 190], np.float64(19.11133568608194))"
8,"([69, 75, 206, 227], np.float64(0.17178128495347408))","([69, 75, 227], np.float64(10.351073720539269))","([69, 75, 206, 227], np.float64(0.037465713462455384))","([69, 75, 206, 227], np.float64(0.038817139653009994))"
9,"([155, 168, 214, 222], np.float64(0.4222515506866681))","([155, 168, 214, 222], np.float64(0.416484848455821))","([155, 168, 198, 214, 222], np.float64(0.5896887732038213))","([155, 168, 214, 222], np.float64(0.06557647166542609))"
10,"([19, 24, 70, 196], np.float64(0.19959800421764914))","([19, 70, 196], np.float64(9.009882394232694))","([19, 24, 70, 196, 223], np.float64(0.18684970824641225))","([19, 24, 70, 196], np.float64(0.04617876659533105))"
11,"([41, 96, 146, 211], np.float64(0.5794160820510502))","([41, 96, 146, 211], np.float64(0.20951751025616314))","([41, 96, 146, 211], np.float64(0.15159921828168468))","([41, 96, 146, 211], np.float64(0.1526068118080751))"
12,"([64, 101, 155, 241], np.float64(0.2733108592638555))","([64, 101], np.float64(17.61793340622773))","([64, 101, 155, 241], np.float64(0.03408943434495958))","([64, 101, 155, 241], np.float64(0.03362486647726267))"
