run_id,LassoNet,XGBoost,RF
0,"([49, 74, 138, 145, 151, 155, 180, 219, 228], 1.7662124932788952)","([180, 228], 82.4333517121842)","([40, 74, 107, 138, 151, 155, 180, 183, 219, 228], 41.3192400953892)"
1,"([3, 4, 7, 9, 21, 27, 34, 35, 38, 40, 46, 50, 57, 58, 59, 77, 80, 82, 84, 86, 91, 98, 102, 110, 111, 112, 114, 116, 119, 126, 129, 155, 157, 170, 173, 180, 192, 197, 203, 204, 208, 211, 213, 227, 228, 232, 243, 245], 0.8570376943497262)","([173], 91.85149557451653)","([9, 40, 91, 127, 173], 31.172717636665112)"
2,"([32, 72, 105, 124, 168, 188, 198, 210, 219, 242], 1.2744902097676858)","([168, 198], 72.43638891060476)","([63, 72, 105, 168, 198, 210, 219, 242], 20.678805969392652)"
3,"([14, 35, 109, 120, 128, 193, 212, 236], 4.5995039662146935)","([], 53.565077495712266)","([7, 35, 109, 128], 37.521575231682206)"
4,"([39, 53, 78, 98, 103, 109, 117, 127, 197, 210, 214, 228, 230, 242], 1.0139100303944113)","([210], 88.44616962214786)","([53, 98, 117, 118, 210, 228], 23.91884123081736)"
5,"([53, 55, 79, 84, 91, 106, 118, 161, 172, 179], 1.3973026841911547)","([55, 223], 73.55378791373211)","([26, 55, 100, 106, 179, 223], 39.42186733616043)"
6,"([2, 68, 96, 107, 131, 134, 145, 147, 149, 153, 163, 173, 192, 204, 212, 228, 231, 239, 243, 249], 0.9456040133781757)","([239], 73.24290396348873)","([2, 46, 131, 149, 173, 239, 243, 249], 30.136112012830896)"
7,"([26, 73, 80, 105, 113, 164, 191, 223], 2.0169729645606687)","([153, 158, 164, 191], 73.31922458700501)","([72, 73, 80, 113, 164, 191, 239], 41.57948165466753)"
8,"([19, 76, 116, 122, 164, 215, 218, 227, 232, 241], 0.8944702254352075)","([239, 241], 86.08026047810527)","([19, 76, 119, 164, 193, 218, 227, 236, 241], 24.98425829521793)"
9,"([4, 34, 46, 53, 60, 69, 76, 86, 89, 90, 109, 111, 115, 124, 125, 145, 148, 150, 151, 153, 158, 160, 167, 189, 198, 202, 226, 231, 237, 240, 242, 246, 249], 0.8774677816400117)","([], 53.85419841569149)","([53, 85, 86, 115, 125, 148, 184, 227, 231], 29.165273040507497)"
10,"([26, 52, 61, 99, 106, 121, 134, 137, 188, 234, 240], 1.1853331868723014)","([], 53.00917777874314)","([12, 13, 99, 137, 240], 35.88090595283422)"
11,"([1, 4, 11, 15, 17, 18, 19, 22, 23, 31, 37, 53, 55, 56, 60, 63, 68, 71, 73, 74, 75, 79, 80, 86, 93, 96, 97, 100, 107, 110, 129, 131, 132, 147, 163, 165, 175, 176, 177, 178, 180, 183, 187, 190, 191, 197, 202, 207, 210, 213, 220, 223, 226, 228, 230, 237, 238, 242, 244, 247], 1.5934235955558103)","([], 55.699215506234516)","([11, 16, 73, 80, 129, 147, 157, 163], 34.16537803956496)"
12,"([12, 55, 81, 84, 92, 132, 185, 187, 207, 222, 248], 2.0681611306053154)","([12, 30, 55, 82, 132, 152], 56.22488010843475)","([12, 67, 84, 92, 132, 148, 185, 207, 213], 33.24963312318002)"
13,"([33, 105, 107, 206, 221, 232, 247], 4.182125418633875)","([], 52.606232214585035)","([67, 96, 105, 107, 221, 232], 31.67354820165386)"
14,"([86, 136, 159, 184, 190, 200, 220, 234], 7.367010628474156)","([200, 220], 51.03306264247844)","([121, 200, 220, 234], 36.48726180471253)"
15,"([46, 69, 86, 95, 107, 132, 137], 2.6114927447794125)","([86], 68.52189750074555)","([86, 95, 132, 137, 151, 241], 33.94502554414776)"
16,"([1, 2, 5, 10, 30, 31, 39, 45, 53, 71, 75, 89, 91, 94, 98, 99, 106, 112, 120, 130, 139, 142, 154, 156, 157, 158, 167, 170, 172, 175, 181, 202, 207, 209, 212, 217, 220, 227, 228, 240, 247, 249], 1.486796272338314)","([94, 122, 134, 181, 184], 71.34930388326532)","([30, 94, 134, 181, 184], 42.692221884141475)"
17,"([3, 7, 13, 15, 30, 35, 41, 49, 56, 60, 61, 66, 67, 69, 76, 99, 109, 113, 123, 124, 131, 135, 139, 146, 167, 170, 181, 182, 186, 199, 203, 204, 214, 225, 244, 246, 249], 1.6356667933530216)","([], 51.33291697881062)","([24, 100, 109, 131, 146, 182, 203, 222, 244], 32.16049610311191)"
18,"([7, 27, 55, 70, 72, 193, 195, 201, 209, 233], 1.300173723560051)","([], 51.81954683586648)","([49, 72, 201, 209], 46.732528965018574)"
19,"([75, 77, 81, 90, 111, 118, 134, 166, 168, 188, 193, 197, 204, 231], 3.756137843603953)","([81, 101, 183, 193, 197], 52.42937716079872)","([75, 81, 84, 93, 111, 134, 197, 199, 202], 33.45379458384058)"
20,"([36, 99, 141, 149, 153, 202, 228], 7.296788575606719)","([36, 99, 125, 153], 49.03947346913767)","([11, 14, 36, 99, 103, 126, 141, 153, 191, 228], 32.69135646400118)"
21,"([54, 74, 119, 139, 212, 243], 6.093409128709411)","([139, 194, 204], 78.75739514549512)","([54, 74, 119, 139, 212, 243], 17.737202515543625)"
22,"([10, 38, 49, 103, 118, 129, 130, 152, 171, 185, 235, 242], 6.2057803813697285)","([], 60.02860445414433)","([118, 156, 174, 235], 49.03550425482384)"
23,"([15, 19, 75, 79, 94, 105, 129, 194, 198], 1.5315777192243125)","([], 54.090769167070654)","([75, 105, 129, 198, 201], 28.69148298248272)"
24,"([24, 30, 77, 81, 90, 126, 157, 244], 15.325966325428329)","([146, 157, 244], 67.22868918573928)","([24, 30, 77, 86, 126, 146, 157, 244], 33.37293484834459)"
25,"([8, 9, 15, 21, 32, 51, 52, 58, 61, 74, 84, 89, 92, 100, 105, 120, 129, 132, 138, 140, 150, 163, 167, 169, 183, 185, 189, 190, 193, 195, 199, 202, 206, 212, 216, 233, 235, 239, 245, 246], 1.404429923310747)","([], 54.721722652569355)","([45, 55, 84, 89, 183, 202, 224], 37.91739925366365)"
26,"([13, 93, 109, 169, 194, 216, 222, 240, 241], 1.8522868107993564)","([], 54.44559429036538)","([108, 109, 169, 208, 240], 34.64643907517344)"
27,"([43, 57, 85, 124, 140, 233], 1.9202423607447636)","([140, 183, 233], 56.49524959148364)","([43, 57, 85, 112, 124, 140, 145, 233], 20.303891189454042)"
