run_id,harderLASSO ANN,LASSO ANN
0,"([1, 4, 10, 16, 18, 20, 32, 38, 42, 43, 45], np.float64(421.2415308789087))","([], np.float64(641.4265290846263))"
1,"([4, 6, 8, 13, 15, 21, 26, 30, 35, 41, 43], np.float64(618.8765903195113))","([], np.float64(683.2631206301921))"
2,"([2, 4, 13, 14, 18, 26, 36, 43], np.float64(415.95102852503186))","([], np.float64(618.0187774150234))"
3,"([1, 11, 13, 26, 27, 36, 37, 43, 45], np.float64(594.4227788936859))","([], np.float64(647.5672469673707))"
4,"([3, 7, 8, 9, 10, 12, 18, 26, 28, 41, 42, 43], np.float64(553.0376448170844))","([], np.float64(659.3573506271717))"
5,"([4, 9, 13, 16, 20, 25, 37, 40, 41], np.float64(482.71282659920746))","([], np.float64(710.8726110113137))"
6,"([0, 7, 10, 14, 16, 21, 26, 27, 29, 34, 38, 39, 49], np.float64(603.8665254262488))","([], np.float64(583.9592531861001))"
7,"([0, 3, 18, 19, 23, 35, 43], np.float64(459.31752340472127))","([18], np.float64(650.097288465487))"
8,"([2, 6, 7, 10, 16, 17, 21, 31, 33, 41, 47, 49], np.float64(561.4684624820328))","([], np.float64(711.8802715719016))"
9,"([6, 10, 14, 17, 34, 41, 45, 46, 49], np.float64(500.77084728126187))","([], np.float64(622.6390187775188))"
10,"([0, 9, 11, 15, 17, 20, 22, 27, 31, 38], np.float64(581.8270185947221))","([], np.float64(623.5130371665048))"
11,"([1, 18, 24, 31, 32, 44, 45, 47, 49], np.float64(509.5946257805367))","([], np.float64(712.3750070895563))"
12,"([10, 12, 19, 21, 23, 28, 31, 38, 40, 48], np.float64(478.2265200178204))","([], np.float64(627.5547488325763))"
13,"([5, 20, 22, 30, 35, 46], np.float64(498.2927361757782))","([], np.float64(665.6496240523735))"
14,"([2, 3, 6, 10, 13, 15, 18, 26, 34, 36, 43], np.float64(540.0893511256559))","([], np.float64(682.6790825113735))"
15,"([2, 10, 22, 26, 28, 33, 35, 39, 44, 45, 49], np.float64(460.94011680407215))","([], np.float64(697.6961894397651))"
16,"([0, 15, 18, 19, 21, 23, 34, 43, 45, 46], np.float64(343.88945813921845))","([], np.float64(639.7754132815016))"
17,"([4, 10, 14, 24, 25, 30, 31, 32, 36, 38], np.float64(456.79596368152147))","([], np.float64(707.5207912171157))"
18,"([10, 19, 29, 37, 38, 39, 41, 45], np.float64(402.18529537434466))","([], np.float64(625.9181271848521))"
19,"([3, 15, 20, 27, 34, 38, 44, 46, 47], np.float64(685.553161045519))","([], np.float64(686.9089546092512))"
20,"([2, 9, 19, 25, 26, 28, 42, 44, 45, 49], np.float64(356.1931366922832))","([], np.float64(627.3434816638883))"
21,"([3, 7, 8, 14, 16, 17, 18, 19, 23, 44, 48], np.float64(480.0021732282752))","([], np.float64(656.6491044163325))"
22,"([8, 23, 26, 29], np.float64(548.0342773411777))","([], np.float64(688.7916841774259))"
23,"([8, 9, 11, 12, 16, 26, 34, 43, 45, 47], np.float64(380.7169760830873))","([43], np.float64(660.3422161501395))"
24,"([2, 3, 7, 8, 12, 15, 43, 45], np.float64(429.0144763451724))","([], np.float64(702.500054086353))"
25,"([0, 7, 10, 17, 29, 34, 41, 49], np.float64(422.51060502610903))","([], np.float64(703.8709340309144))"
26,"([2, 3, 5, 15, 20, 23, 30, 32, 33, 35, 36, 41, 45, 46], np.float64(427.6806326576646))","([], np.float64(702.2485636326579))"
27,"([1, 2, 3, 4, 8, 15, 17, 18, 25, 27, 35, 37, 38, 40, 43], np.float64(536.9026808180447))","([], np.float64(691.8145340631027))"
28,"([0, 3, 6, 9, 10, 27, 28, 32, 39, 41, 45, 49], np.float64(342.9893451588002))","([], np.float64(693.7215664418997))"
