run_id,LassoNet,XGBoost,RF
0,"([np.int64(10), np.int64(21), np.int64(38), np.int64(40)], np.float64(429.0805406760878))","([np.int64(10), np.int64(21), np.int64(22), np.int64(24), np.int64(27), np.int64(31), np.int64(32), np.int64(33), np.int64(36)], np.float64(353.1205071240136))","([np.int64(5), np.int64(8), np.int64(10), np.int64(11), np.int64(16), np.int64(21), np.int64(22), np.int64(24), np.int64(27), np.int64(31), np.int64(32), np.int64(33), np.int64(36)], np.float64(327.04419415187766))"
1,"([np.int64(7), np.int64(33)], np.float64(536.2040354758669))","([np.int64(20), np.int64(22), np.int64(24), np.int64(36), np.int64(48)], np.float64(571.7510426556905))","([np.int64(0), np.int64(2), np.int64(4), np.int64(8), np.int64(9), np.int64(14), np.int64(19), np.int64(20), np.int64(22), np.int64(24), np.int64(32), np.int64(35), np.int64(36), np.int64(48)], np.float64(377.08871087593144))"
2,"([np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(16), np.int64(17), np.int64(18), np.int64(21), np.int64(23), np.int64(24), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(41), np.int64(47), np.int64(48)], np.float64(345.66274238293903))","([np.int64(12), np.int64(27), np.int64(30), np.int64(34), np.int64(40), np.int64(41), np.int64(49)], np.float64(399.8508629634041))","([np.int64(1), np.int64(6), np.int64(9), np.int64(10), np.int64(12), np.int64(16), np.int64(24), np.int64(25), np.int64(27), np.int64(30), np.int64(34), np.int64(40), np.int64(41), np.int64(49)], np.float64(305.0536518739293))"
3,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(25), np.int64(27), np.int64(29), np.int64(30), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48)], np.float64(185.00167710965124))","([np.int64(41), np.int64(42), np.int64(45)], np.float64(609.5019779234926))","([np.int64(5), np.int64(7), np.int64(16), np.int64(17), np.int64(22), np.int64(25), np.int64(29), np.int64(30), np.int64(35), np.int64(41), np.int64(42), np.int64(44), np.int64(45), np.int64(47)], np.float64(309.37283812532013))"
4,"([], np.float64(527.2820845106068))","([np.int64(10), np.int64(11), np.int64(19), np.int64(26), np.int64(30), np.int64(34)], np.float64(542.1270382725622))","([np.int64(4), np.int64(6), np.int64(7), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(17), np.int64(19), np.int64(26), np.int64(30), np.int64(34)], np.float64(368.96326263173245))"
5,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(8), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(22), np.int64(23), np.int64(24), np.int64(26), np.int64(27), np.int64(28), np.int64(31), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(42), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(369.931221545756))","([np.int64(45), np.int64(48), np.int64(49)], np.float64(634.5401385298053))","([np.int64(3), np.int64(8), np.int64(10), np.int64(16), np.int64(17), np.int64(24), np.int64(37), np.int64(45), np.int64(47), np.int64(48), np.int64(49)], np.float64(378.39812493980213))"
6,"([np.int64(1), np.int64(3), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(19), np.int64(20), np.int64(22), np.int64(24), np.int64(25), np.int64(27), np.int64(29), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(41), np.int64(42), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(334.5537641055605))","([np.int64(22), np.int64(24), np.int64(32), np.int64(33), np.int64(35), np.int64(41), np.int64(44), np.int64(45)], np.float64(438.0105699708307))","([np.int64(3), np.int64(5), np.int64(7), np.int64(11), np.int64(20), np.int64(22), np.int64(24), np.int64(32), np.int64(33), np.int64(35), np.int64(41), np.int64(44), np.int64(45)], np.float64(304.4693612707573))"
7,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(19), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(36), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(46), np.int64(47), np.int64(48), np.int64(49)], np.float64(277.94581902616875))","([np.int64(15), np.int64(46)], np.float64(719.1220336291645))","([np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(26), np.int64(29), np.int64(30), np.int64(41), np.int64(45), np.int64(46), np.int64(47), np.int64(48)], np.float64(364.1461924493032))"
8,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(9), np.int64(11), np.int64(13), np.int64(14), np.int64(15), np.int64(18), np.int64(20), np.int64(22), np.int64(25), np.int64(26), np.int64(27), np.int64(30), np.int64(32), np.int64(33), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(44), np.int64(45), np.int64(47), np.int64(48)], np.float64(385.1129124543825))","([np.int64(33), np.int64(37), np.int64(41), np.int64(42)], np.float64(584.1602498860863))","([np.int64(0), np.int64(3), np.int64(6), np.int64(7), np.int64(13), np.int64(21), np.int64(33), np.int64(37), np.int64(41), np.int64(42)], np.float64(387.60515438119967))"
9,"([np.int64(4), np.int64(5), np.int64(6), np.int64(14), np.int64(16), np.int64(22), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(42), np.int64(43), np.int64(46), np.int64(48), np.int64(49)], np.float64(453.1946088467316))","([np.int64(27), np.int64(33), np.int64(37), np.int64(41), np.int64(49)], np.float64(551.5643745013875))","([np.int64(5), np.int64(6), np.int64(8), np.int64(11), np.int64(16), np.int64(17), np.int64(20), np.int64(26), np.int64(27), np.int64(33), np.int64(37), np.int64(41), np.int64(49)], np.float64(375.1663228722786))"
