run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,"[46, 76, 81, 88, 173, 174, 199, 224, 240, 264]","[16, 122, 177, 199, 245]","[46, 89, 160]"
1,"[4, 29, 36, 56, 57, 99, 108, 111, 115, 132, 134, 196, 223, 260, 266, 267, 272]","[24, 85, 108, 176, 247, 254]","[4, 99, 108, 150, 208, 254]"
2,"[38, 39, 77, 103, 112, 131, 149, 152, 185, 187]","[29, 73, 111, 131, 149, 172, 185, 275]","[172, 230, 275]"
3,"[0, 12, 36, 48, 51, 150, 173, 188, 189, 260, 277, 281]","[76, 81, 119, 131, 148, 188, 255, 261]","[8, 40, 73, 76, 81, 150, 173, 179, 261]"
4,"[26, 73, 88, 128, 154, 179, 204, 209, 252, 273, 278]","[26, 107, 109, 139, 198, 253, 265, 278, 279]","[11, 107, 128, 201]"
5,"[25, 92, 118, 130, 150, 172, 219, 226, 260, 269, 276]","[3, 77, 92, 94, 107, 124, 128, 150, 210, 235, 276, 293]","[92, 94, 128, 260]"
6,"[82, 87, 104, 161, 162, 190, 193, 239, 248, 287, 296]","[9, 47, 82, 87, 159, 162, 167, 216, 256]","[87, 105, 295]"
7,"[16, 22, 25, 44, 90, 158, 239, 240, 243]","[22, 25, 34, 44, 68, 72, 90, 198, 254, 288]","[22, 72, 80, 119]"
8,"[2, 6, 36, 40, 41, 44, 64, 165, 174, 227, 235, 289, 290, 291]","[26, 36, 198, 283, 289]","[26, 36, 289]"
9,"[105, 134, 136, 150, 151, 160, 163, 189, 192, 194, 197, 256, 275, 283]","[5, 24, 134, 144, 146, 197, 230, 293]","[85, 119, 134, 140, 144, 197, 244, 250, 252]"
10,"[0, 28, 88, 127, 140, 185, 250, 290, 295]","[0, 88, 140, 185, 250, 295]","[0, 88, 136, 140, 250, 290]"
11,"[6, 9, 22, 134, 210, 239, 281, 291]","[8, 71, 120, 153, 163, 210, 225, 288]","[130, 139, 155, 225, 291]"
12,"[32, 89, 119, 138, 146, 150, 162, 216, 219, 228, 262]","[60, 89, 116, 134, 138, 162, 262, 284]","[138, 162, 216, 229, 269]"
13,"[9, 76, 81, 102, 151, 152, 269]","[9, 81, 102, 152, 192, 259]","[9, 81, 102]"
14,"[41, 70, 89, 128, 130, 158, 239, 278, 294]","[70, 89, 126, 128, 130, 141, 158, 170, 207]","[2, 30, 52, 84, 90, 130, 273, 277]"
