run_id,harderLASSO ANN - 0.7lambda,harderLASSO ANN - lambda,harderLASSO ANN - 1.3lambda
0,"[26, 46, 182, 188, 194, 221, 235, 292]","[26, 46, 182, 221, 292]","[26, 182, 292]"
1,"[45, 55, 119, 138, 168, 224, 225]","[45, 119, 130, 160, 176, 224]","[45, 119, 130, 158, 224]"
2,"[9, 41, 97, 113, 155, 188, 271]","[46, 81, 97, 111, 155, 188, 239]","[81, 155, 225]"
3,"[49, 84, 88, 127, 172, 180, 267, 284, 291]","[241, 251, 263, 284]","[172, 251, 267, 284]"
4,"[101, 198, 221, 284]","[101, 147, 198, 284]","[80, 183, 198, 221, 284]"
5,"[3, 23, 27, 54, 99, 193, 202, 220, 251, 274]","[54, 59, 87, 152, 202, 220]","[54, 59, 152]"
6,"[97, 107, 110, 225, 262, 289]","[23, 97, 152, 262]","[97, 110, 262, 268, 289]"
7,"[50, 61, 70, 102, 185, 203, 230, 237, 244, 250, 252]","[50, 63, 184, 281]","[50, 132, 165, 262]"
8,"[8, 62, 66, 75, 159, 238, 242, 275]","[51, 66, 105, 251]","[75, 199, 238]"
9,"[32, 123, 144, 174, 213, 223, 252]","[126, 144, 287]","[35, 144]"
10,"[4, 118, 183, 189, 212, 228]","[78, 177, 191, 249, 261]","[78, 177, 249]"
11,"[93, 228, 258, 286]","[93, 258, 265, 286]","[93, 228, 258, 286]"
12,"[1, 41, 49, 109, 112, 133, 152, 203, 224, 228, 271, 280, 298]","[45, 114, 132, 191, 193, 298]","[45, 298]"
13,"[47, 157, 164, 185, 247, 256]","[45, 164, 185, 274]","[45, 256, 274]"
14,"[14, 39, 49, 76, 183, 209, 214, 220]","[49, 75, 209, 220]","[104, 198]"
15,"[10, 157, 178, 235, 244, 293]","[41, 178, 235]","[178, 235, 244]"
16,"[100, 118, 159, 205, 246]","[117, 147, 171, 230, 282]","[171, 205]"
17,"[94, 129, 134, 149]","[43, 100, 112, 150]","[150, 254]"
18,"[27, 84, 92, 94, 167, 189, 232, 297]","[157, 167, 187, 228]","[167, 233]"
19,"[30, 39, 43, 46, 69, 162, 178, 221]","[46, 162, 165, 178, 204, 219, 266]","[30, 46, 162, 165, 178, 221]"
20,"[24, 46, 119, 254, 266]","[9, 266]","[99, 247]"
21,"[36, 48, 54, 91, 92, 119, 169, 206, 215]","[5, 48, 54, 101, 123, 244]","[6, 98, 123]"
22,"[47, 55, 209, 269, 297]","[14, 46, 209]","[53, 209, 297]"
23,"[7, 10, 123, 125, 200, 218, 227, 234, 248]","[10, 104, 125, 200, 202, 234, 248]","[10, 125, 200]"
24,"[70, 119, 125, 127, 146, 177, 282]","[70, 123, 125, 146, 209]","[13, 123, 125, 182, 246, 282]"
25,"[28, 48, 67, 153, 187, 199]","[28, 48, 49, 89, 140, 141, 153, 194, 207]","[28, 67, 153]"
