run_id,"harderLASSO ANN - (20,)","harderLASSO ANN - (20, 10)","harderLASSO ANN - (20, 10, 5)"
1,"([2, 3, 13, 15], np.float64(12.58305872213715))","([2, 3, 13, 15], np.float64(7.20568286163666))","([2, 3, 13, 15], np.float64(4.721971014996324))"
2,"([10, 22, 30, 39], np.float64(0.07785066589803132))","([10, 22, 30, 39], np.float64(39.845892755926876))","([10, 22, 30, 39], np.float64(12.258649925129614))"
3,"([0, 4, 5, 27], np.float64(21.49894969310445))","([0, 4, 5, 27], np.float64(0.016705234986437594))","([0, 4, 5, 27], np.float64(7.385649167603242))"
4,"([14, 34, 38, 49], np.float64(22.42378218990221))","([14, 34, 38, 49], np.float64(0.027774190078097564))","([14, 34, 38, 49], np.float64(32.845647054735984))"
5,"([2, 11, 15, 36], np.float64(0.02669748796297887))","([2, 11, 15, 36], np.float64(0.024525896364480243))","([2, 11, 15, 36], np.float64(0.038192721368791316))"
6,"([5, 17, 41, 44], np.float64(0.11669172735699035))","([5, 17, 41, 44], np.float64(0.01454283482869645))","([5, 17, 41, 44], np.float64(2.2006880291528668))"
7,"([13, 17, 29, 45], np.float64(0.13403080714859641))","([13, 17], np.float64(52.662615393409226))","([13, 17, 29, 45], np.float64(40.49465657453805))"
8,"([10, 19, 37, 48], np.float64(22.491019158843365))","([10, 19, 37, 48], np.float64(0.01536198288969939))","([10, 19, 37, 48], np.float64(0.017740011754579368))"
9,"([11, 36, 38, 44], np.float64(20.55859531383524))","([11, 36, 38, 44], np.float64(0.026423802345726086))","([11, 36, 38, 44], np.float64(33.34333295572214))"
10,"([27, 29, 41, 42], np.float64(0.07224265945478965))","([], np.float64(55.5696908244036))","([27, 29, 41, 42], np.float64(0.030123114499913447))"
11,"([19, 31, 46, 49], np.float64(0.02606709521612588))","([19, 31, 46, 49], np.float64(0.02329599003380892))","([19, 31, 46, 49], np.float64(9.33394669195274))"
12,"([7, 15, 38, 43], np.float64(23.981673199763915))","([7, 15, 38, 43], np.float64(1.1955379663881287))","([], np.float64(59.40477291172172))"
13,"([8, 10, 31, 41], np.float64(0.06664712607477603))","([8, 10, 31, 41], np.float64(9.096447978934819))","([8, 41], np.float64(52.32678133545066))"
14,"([16, 21, 40, 42], np.float64(13.78396119426993))","([16, 21, 40, 42], np.float64(0.03367432289051824))","([16, 21, 40, 42], np.float64(9.266279685965324))"
15,"([11, 19, 21, 41], np.float64(21.28322563133898))","([11, 19, 21, 41], np.float64(0.015580074690162515))","([11, 19, 21, 41], np.float64(0.12028352859201803))"
16,"([4, 9, 19, 40], np.float64(0.06954830159314573))","([4, 9, 19, 40], np.float64(33.982571857708955))","([4, 9, 19, 40], np.float64(0.061998483464429384))"
17,"([8, 18, 26, 27], np.float64(16.575214438380627))","([8, 18, 26, 27], np.float64(13.835433596199044))","([8, 18, 26, 27], np.float64(0.1264008581754855))"
18,"([6, 31, 39, 48], np.float64(13.7784977507906))","([6, 31, 39, 48], np.float64(0.14554899713637576))","([], np.float64(62.03371891223468))"
19,"([0, 2, 19, 32], np.float64(15.501323902450435))","([0, 2, 19, 32], np.float64(0.46419823043783254))","([0, 2, 19, 32], np.float64(11.545695836391642))"
20,"([4, 7, 15, 28], np.float64(23.665543731650125))","([4, 7, 15, 28], np.float64(0.02250985491127449))","([], np.float64(59.52827867348571))"
21,"([13, 15, 30, 41], np.float64(20.057564610120497))","([13, 15, 30, 41], np.float64(1.9799998790180837))","([13, 15, 30, 41], np.float64(6.989802455233552))"
22,"([4, 6, 11, 46], np.float64(13.91370857070971))","([4, 6, 11, 46], np.float64(0.019548070174745916))","([4, 6, 11, 46], np.float64(0.03960324226529652))"
23,"([0, 6, 31, 42], np.float64(37.96088348381831))","([0, 6, 31, 42], np.float64(1.2937103665220364))","([0, 6, 31, 42], np.float64(0.0402924606736012))"
24,"([1, 8, 14, 37], np.float64(22.305574082694307))","([1, 8, 14, 37], np.float64(0.017292893521631676))","([1, 8, 14, 37], np.float64(0.05230234162234727))"
25,"([2, 13, 20, 26], np.float64(23.363194201368398))","([2, 13, 20, 26], np.float64(10.453431827132194))","([], np.float64(62.3638433178796))"
26,"([25, 38, 47, 48], np.float64(22.43430071187256))","([25, 38, 47, 48], np.float64(0.03620787994657209))","([25, 48], np.float64(45.511711591330204))"
27,"([6, 9, 19, 44], np.float64(23.065704994196217))","([6, 9, 19, 44], np.float64(0.025492629764790168))","([6, 9, 19, 44], np.float64(0.03067620017620497))"
28,"([19, 35, 38, 44], np.float64(0.06316292859577269))","([19, 35, 38, 44], np.float64(0.02530796678843133))","([19, 35, 38, 44], np.float64(11.218959812844464))"
29,"([8, 14, 38, 41], np.float64(15.160466505423395))","([8, 14, 38, 41], np.float64(2.721161690880363))","([8, 14, 38, 41], np.float64(37.69922144991321))"
30,"([20, 21, 34, 35], np.float64(21.535847777439667))","([20, 21, 34, 35], np.float64(0.019807203755623462))","([20, 21, 34, 35], np.float64(6.005532102919722))"
31,"([13, 26, 28, 37], np.float64(16.998997411697342))","([13, 26, 28, 37], np.float64(0.03337712474439293))","([13, 26, 28, 37], np.float64(0.026516259955030385))"
32,"([8, 9, 26, 37], np.float64(42.837008395125025))","([8, 9, 26, 37], np.float64(0.020198555173917918))","([8, 9, 26, 37], np.float64(1.0520168467679432))"
33,"([5, 23, 44, 45], np.float64(0.07901482406629975))","([5, 23, 44, 45], np.float64(38.52749686679761))","([5, 23, 44, 45], np.float64(0.02258987790551054))"
34,"([2, 11, 21, 24], np.float64(20.094926100300356))","([2, 11, 21, 24], np.float64(0.017339179043646395))","([2, 11, 21, 24], np.float64(6.4193667958011424))"
35,"([7, 30, 47, 49], np.float64(42.21171362611708))","([7, 30, 47, 49], np.float64(0.025884984106777018))","([30, 49], np.float64(53.54571805467104))"
36,"([11, 17, 35, 41], np.float64(0.08304434399471412))","([11, 17, 35, 41], np.float64(0.027073454182366626))","([11, 17, 35, 41], np.float64(0.07131632934117133))"
37,"([4, 15, 24, 44], np.float64(14.131674033854122))","([4, 15, 24, 44], np.float64(0.023714474106983987))","([4, 15, 24, 44], np.float64(4.577750319523033))"
38,"([20, 25, 26, 28], np.float64(20.68473934276653))","([20, 25, 26, 28], np.float64(0.030845705934011414))","([20, 25, 26, 28], np.float64(2.9712768177655473))"
39,"([5, 21, 25, 43], np.float64(21.286981146435213))","([5, 21, 25, 43], np.float64(0.03013912799199695))","([5, 21, 25, 43], np.float64(0.28727127995507956))"
40,"([29, 33, 35, 44], np.float64(22.514898192681812))","([29, 33, 35, 44], np.float64(4.294163154489301))","([29, 33, 35, 44], np.float64(7.941971132949739))"
41,"([3, 6, 11, 14], np.float64(0.015623599680396342))","([3, 6, 11, 14], np.float64(0.024017219542873055))","([3, 6, 11, 14], np.float64(0.0491910269887334))"
42,"([6, 15, 43, 49], np.float64(13.289179794010073))","([6, 15, 43, 49], np.float64(1.508004602731994))","([6, 15, 43, 49], np.float64(2.221380033000645))"
43,"([24, 30, 35, 45], np.float64(23.78575475795566))","([24, 30, 35, 45], np.float64(0.015492273364239334))","([24, 30, 35, 45], np.float64(0.038473670843764796))"
44,"([16, 22, 38, 46], np.float64(0.04582977646592314))","([16, 22, 38, 46], np.float64(0.03510961635196185))","([16, 22, 38, 46], np.float64(17.761505003240234))"
45,"([8, 19, 26, 45], np.float64(23.497187879672705))","([8, 19, 26, 45], np.float64(0.02764554979955338))","([8, 19, 26, 45], np.float64(39.05399621718947))"
46,"([0, 10, 15, 16], np.float64(22.437557675093014))","([0, 10, 15, 16], np.float64(2.1389340387393405))","([0, 10, 15, 16], np.float64(14.465740269294308))"
47,"([1, 10, 13, 48], np.float64(0.022122534168508547))","([1, 10, 13, 48], np.float64(0.026703480886331767))","([1, 10, 13, 48], np.float64(12.782499820222872))"
48,"([0, 20, 24, 42], np.float64(14.539834331578856))","([0, 20, 24, 42], np.float64(0.04555060909247197))","([0, 24], np.float64(53.9072584277874))"
49,"([0, 21, 26, 30], np.float64(22.992464157324985))","([0, 21, 26, 30], np.float64(0.7585185124320081))","([0, 21, 26, 30], np.float64(36.427675188653346))"
