run_id,XGBoost,RF
1,"([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(13.946975913012635))","([np.int64(2), np.int64(3), np.int64(13), np.int64(15)], np.float64(15.349222916977252))"
2,"([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(13.20318782765438))","([np.int64(10), np.int64(22), np.int64(30), np.int64(39)], np.float64(16.27116766906847))"
3,"([np.int64(0), np.int64(4), np.int64(5), np.int64(27)], np.float64(12.706721205828261))","([np.int64(0), np.int64(4), np.int64(5), np.int64(17), np.int64(27)], np.float64(16.817519509429264))"
4,"([np.int64(14), np.int64(34), np.int64(38), np.int64(49)], np.float64(12.91583946443918))","([np.int64(14), np.int64(30), np.int64(31), np.int64(34), np.int64(38), np.int64(49)], np.float64(18.344640214786384))"
5,"([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(12.592938142004211))","([np.int64(2), np.int64(11), np.int64(15), np.int64(36)], np.float64(15.2096193144481))"
6,"([np.int64(5), np.int64(17), np.int64(41), np.int64(44)], np.float64(11.294854286882051))","([np.int64(5), np.int64(17), np.int64(24), np.int64(41), np.int64(44)], np.float64(17.042388898900676))"
7,"([np.int64(13), np.int64(17), np.int64(29), np.int64(45)], np.float64(13.755844588974849))","([np.int64(13), np.int64(15), np.int64(17), np.int64(29), np.int64(45), np.int64(47)], np.float64(19.051065634783214))"
8,"([np.int64(10), np.int64(19), np.int64(37), np.int64(48)], np.float64(13.5126505436084))","([np.int64(10), np.int64(15), np.int64(19), np.int64(28), np.int64(37), np.int64(48)], np.float64(19.70005470936152))"
9,"([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(12.736143298072285))","([np.int64(11), np.int64(36), np.int64(38), np.int64(44)], np.float64(14.702788153507845))"
10,"([np.int64(27), np.int64(29), np.int64(41), np.int64(42)], np.float64(13.305596153643783))","([np.int64(27), np.int64(29), np.int64(33), np.int64(41), np.int64(42), np.int64(49)], np.float64(17.55245255869878))"
11,"([np.int64(19), np.int64(31), np.int64(46), np.int64(49)], np.float64(12.532434770566171))","([np.int64(4), np.int64(9), np.int64(19), np.int64(30), np.int64(31), np.int64(37), np.int64(46), np.int64(49)], np.float64(18.953762103449122))"
12,"([np.int64(7), np.int64(15), np.int64(38), np.int64(43)], np.float64(12.847154342247853))","([np.int64(3), np.int64(7), np.int64(12), np.int64(15), np.int64(38), np.int64(43)], np.float64(19.339329359133497))"
13,"([np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(12.355457611260405))","([np.int64(2), np.int64(8), np.int64(10), np.int64(31), np.int64(41)], np.float64(16.26974559458727))"
14,"([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(12.795787741588551))","([np.int64(16), np.int64(21), np.int64(40), np.int64(42)], np.float64(16.95323021292302))"
15,"([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(12.581292510026124))","([np.int64(11), np.int64(19), np.int64(21), np.int64(41)], np.float64(14.18849509279885))"
16,"([np.int64(4), np.int64(9), np.int64(19), np.int64(40)], np.float64(12.48956343334207))","([np.int64(4), np.int64(9), np.int64(19), np.int64(40), np.int64(42)], np.float64(16.3879001882626))"
17,"([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(13.674788450324165))","([np.int64(8), np.int64(18), np.int64(26), np.int64(27)], np.float64(16.497995190888066))"
18,"([np.int64(6), np.int64(31), np.int64(39), np.int64(48)], np.float64(12.19023410015725))","([np.int64(3), np.int64(6), np.int64(25), np.int64(31), np.int64(39), np.int64(48)], np.float64(19.212236565156978))"
19,"([np.int64(0), np.int64(2), np.int64(19), np.int64(32)], np.float64(12.599819300278542))","([np.int64(0), np.int64(2), np.int64(19), np.int64(32), np.int64(47)], np.float64(15.856272427325722))"
20,"([np.int64(4), np.int64(7), np.int64(15), np.int64(28)], np.float64(14.456979713589266))","([np.int64(4), np.int64(7), np.int64(15), np.int64(24), np.int64(28)], np.float64(17.999226300239613))"
21,"([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(13.155792448040158))","([np.int64(13), np.int64(15), np.int64(30), np.int64(41)], np.float64(13.831601047537385))"
22,"([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(13.725344350456588))","([np.int64(4), np.int64(6), np.int64(11), np.int64(46)], np.float64(15.992521185217507))"
23,"([np.int64(0), np.int64(6), np.int64(31), np.int64(42), np.int64(45)], np.float64(15.812715157462844))","([np.int64(0), np.int64(6), np.int64(21), np.int64(25), np.int64(27), np.int64(31), np.int64(42), np.int64(45)], np.float64(19.056328093828693))"
24,"([np.int64(1), np.int64(8), np.int64(14), np.int64(37)], np.float64(13.759667930164502))","([np.int64(1), np.int64(8), np.int64(14), np.int64(19), np.int64(37)], np.float64(18.065019419930962))"
25,"([np.int64(2), np.int64(13), np.int64(20), np.int64(26)], np.float64(14.15520519809149))","([np.int64(2), np.int64(13), np.int64(20), np.int64(26), np.int64(27), np.int64(42)], np.float64(18.673676480542888))"
26,"([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(14.122289203201845))","([np.int64(25), np.int64(38), np.int64(47), np.int64(48)], np.float64(15.310828916126404))"
27,"([np.int64(6), np.int64(9), np.int64(19), np.int64(44)], np.float64(11.935939305661776))","([np.int64(6), np.int64(9), np.int64(19), np.int64(44), np.int64(49)], np.float64(18.47999145134985))"
28,"([np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(12.90036583306118))","([np.int64(16), np.int64(19), np.int64(35), np.int64(38), np.int64(44)], np.float64(16.31386680256194))"
29,"([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(11.92958009001183))","([np.int64(8), np.int64(14), np.int64(38), np.int64(41)], np.float64(16.754361812934253))"
30,"([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(13.106526141086254))","([np.int64(20), np.int64(21), np.int64(34), np.int64(35)], np.float64(14.855849167613233))"
31,"([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(13.78891809542635))","([np.int64(13), np.int64(26), np.int64(28), np.int64(37)], np.float64(17.968786167554914))"
32,"([np.int64(8), np.int64(9), np.int64(26), np.int64(37)], np.float64(13.828437315425433))","([np.int64(8), np.int64(9), np.int64(26), np.int64(37)], np.float64(16.592556731399096))"
33,"([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(13.627704354906415))","([np.int64(5), np.int64(23), np.int64(44), np.int64(45)], np.float64(16.506237857191582))"
34,"([np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(14.09056240620483))","([np.int64(1), np.int64(2), np.int64(11), np.int64(21), np.int64(24)], np.float64(16.942698008882473))"
35,"([np.int64(7), np.int64(30), np.int64(47), np.int64(49)], np.float64(14.005412602588224))","([np.int64(1), np.int64(7), np.int64(14), np.int64(29), np.int64(30), np.int64(47), np.int64(49)], np.float64(20.55097574149765))"
36,"([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(13.256321389502917))","([np.int64(11), np.int64(17), np.int64(35), np.int64(41)], np.float64(15.045164064922712))"
37,"([np.int64(4), np.int64(15), np.int64(24), np.int64(44)], np.float64(14.108111998315595))","([np.int64(4), np.int64(5), np.int64(15), np.int64(24), np.int64(44)], np.float64(16.9673487718545))"
