run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
0,"([8, 21, 35, 42, 63, 70, 73, 105, 112, 114, 125, 131, 172, 182, 215, 244], np.float64(341.4138283890834))","([], np.float64(247.25590405022191))","([2, 6, 10, 11, 21, 35, 42, 52, 67, 70, 75, 76, 99, 100, 105, 112, 114, 127, 160, 166, 170, 176, 224, 225, 227, 233, 242, 249], np.float64(300.5876275565384))","([], np.float64(246.08427819685133))"
1,"([10, 17, 25, 44, 55, 64, 65, 69, 74, 100, 102, 112, 131, 145, 182, 189, 199, 249], np.float64(361.2367194300387))","([100], np.float64(257.61783260392053))","([8, 10, 33, 44, 50, 55, 65, 69, 73, 74, 97, 100, 114, 126, 145, 157, 166, 168, 182, 191, 199, 205, 217, 239, 243], np.float64(299.64869898216887))","([100], np.float64(257.0592990032532))"
2,"([21, 31, 32, 35, 83, 84, 103, 130, 136, 138, 148, 167, 178, 245], np.float64(444.33748010450006))","([], np.float64(260.64715693438325))","([6, 12, 13, 28, 29, 32, 43, 57, 58, 84, 85, 103, 116, 121, 130, 136, 139, 173, 175, 178, 192, 231, 243, 245, 246], np.float64(328.80347207049465))","([], np.float64(259.9090169489749))"
3,"([1, 15, 22, 30, 45, 50, 53, 58, 71, 73, 81, 86, 104, 146, 157, 166, 172, 208, 210, 214, 225, 230], np.float64(243.87592254008226))","([], np.float64(261.5643673903415))","([1, 4, 7, 15, 19, 27, 30, 45, 50, 51, 53, 67, 81, 89, 92, 104, 126, 137, 146, 166, 172, 185, 189, 208, 214, 225], np.float64(109.56636403723166))","([45], np.float64(272.2287341451111))"
4,"([2, 3, 73, 86, 94, 96, 114, 115, 117, 124, 136, 148, 155, 161, 162, 164, 180, 191, 199, 222], np.float64(319.83984758333685))","([], np.float64(249.04851372812706))","([2, 4, 17, 39, 54, 72, 86, 94, 96, 107, 114, 115, 117, 131, 136, 141, 143, 148, 155, 156, 161, 163, 165, 181, 189, 222, 230, 242], np.float64(256.2238868287599))","([], np.float64(248.93114593224672))"
5,"([26, 30, 52, 74, 87, 94, 116, 126, 138, 151, 154, 172, 179, 200, 218, 242, 245], np.float64(262.8757818042919))","([94], np.float64(253.8413561226647))","([26, 29, 52, 76, 80, 81, 86, 94, 116, 121, 126, 131, 138, 151, 154, 172, 176, 179, 209, 242, 245], np.float64(253.63582614413568))","([94], np.float64(252.34470078849372))"
6,"([2, 28, 39, 71, 80, 150, 165, 175, 177, 194, 197, 201, 208, 215, 218, 223, 228, 234, 239], np.float64(305.1698560807583))","([], np.float64(278.6594453559954))","([11, 23, 28, 39, 41, 48, 69, 88, 99, 101, 105, 107, 135, 155, 170, 175, 177, 194, 197, 204, 205, 208, 215, 218, 219, 221, 223, 227, 228, 234, 239], np.float64(148.3818496701129))","([], np.float64(280.1597840064983))"
7,"([13, 22, 40, 44, 52, 57, 64, 90, 94, 102, 120, 140, 152, 155, 159, 172, 186, 191, 197, 211, 212, 230], np.float64(262.31077655477884))","([], np.float64(254.93504907382186))","([13, 30, 52, 54, 57, 59, 64, 90, 94, 107, 120, 126, 127, 155, 172, 182, 184, 186, 191, 197, 207, 211, 230], np.float64(267.49898080609046))","([57], np.float64(310.7332002593726))"
8,"([3, 17, 24, 42, 55, 67, 78, 90, 107, 116, 134, 149, 155, 167, 168, 172, 178, 220, 223, 238], np.float64(273.89758930939075))","([], np.float64(251.87267500828492))","([3, 17, 42, 55, 67, 78, 90, 107, 116, 134, 149, 155, 167, 168, 172, 178, 220, 223, 238, 243], np.float64(263.48126832330394))","([149], np.float64(260.0845924898581))"
9,"([1, 24, 66, 102, 137, 139, 140, 147, 155, 190, 209, 212, 222, 239], np.float64(266.32150085412053))","([], np.float64(237.58055160165136))","([1, 8, 13, 23, 24, 36, 39, 41, 54, 61, 84, 102, 110, 124, 137, 139, 140, 147, 149, 179, 190, 206, 209, 225, 239], np.float64(188.31571706357394))","([], np.float64(237.26490552794797))"
10,"([40, 45, 55, 67, 91, 131, 135, 217], np.float64(267.0960648280208))","([], np.float64(230.6162591928586))","([11, 23, 36, 40, 45, 55, 60, 88, 101, 125, 131, 135, 139, 172, 190, 197, 198, 218, 225], np.float64(290.1801254987175))","([], np.float64(230.97415096164903))"
