run_id,harderLASSO ANN,LASSO ANN
0,"([], np.float64(0.000916157037397173))","([], np.float64(0.000952695632419929))"
1,"([], np.float64(0.0016297626592807338))","([], np.float64(0.0016342787213136226))"
2,"([], np.float64(0.012658301302455266))","([], np.float64(0.012721215119482432))"
3,"([], np.float64(0.003746357521270449))","([], np.float64(0.003659408439555867))"
4,"([], np.float64(0.0032122370021159395))","([], np.float64(0.0032143495617714822))"
5,"([], np.float64(0.0012069577425501965))","([], np.float64(0.0011536654441788444))"
6,"([], np.float64(0.0012235085976364246))","([], np.float64(0.0012130899922753317))"
7,"([], np.float64(0.0011751512373372464))","([], np.float64(0.0012337791309353777))"
8,"([], np.float64(4.045593007730911e-06))","([], np.float64(6.928711055593541e-06))"
9,"([], np.float64(0.0031485932056241617))","([], np.float64(0.00313787343005946))"
10,"([], np.float64(9.719227907418301e-06))","([], np.float64(1.4788332725709407e-05))"
11,"([], np.float64(0.006410288030501975))","([], np.float64(0.006415745012029683))"
12,"([], np.float64(0.0009823576119022542))","([], np.float64(0.0009794881094384866))"
13,"([], np.float64(0.002230587536695916))","([], np.float64(0.002296286751244603))"
14,"([], np.float64(0.0006670501848533711))","([], np.float64(0.0006287592569998204))"
15,"([], np.float64(0.002019712959126174))","([], np.float64(0.0020093159209481214))"
16,"([], np.float64(0.0003567257406147939))","([], np.float64(0.000354792545433389))"
17,"([], np.float64(9.516472215470931e-07))","([], np.float64(6.721520420091502e-07))"
18,"([], np.float64(0.0032582464027664515))","([], np.float64(0.0032661721867001258))"
19,"([], np.float64(0.0012537605943949703))","([], np.float64(0.0013015929509757052))"
20,"([], np.float64(0.0005577794644212633))","([], np.float64(0.0005896066153102155))"
21,"([], np.float64(0.0005951422075313323))","([], np.float64(0.0005662410862439793))"
22,"([], np.float64(0.00010499655290624551))","([], np.float64(0.00010235108786239844))"
23,"([], np.float64(0.0023353472428527954))","([], np.float64(0.0023981162559929547))"
24,"([], np.float64(9.099791787846397e-05))","([], np.float64(9.03148761934808e-05))"
25,"([], np.float64(0.0013766719399095487))","([], np.float64(0.00142483427724617))"
26,"([], np.float64(0.00019644203204463673))","([], np.float64(0.00017506665408717828))"
27,"([], np.float64(0.0018453419730141277))","([], np.float64(0.0018476925861744679))"
28,"([], np.float64(0.0004790439773475242))","([], np.float64(0.000517887801940873))"
29,"([], np.float64(0.0024965661642548653))","([], np.float64(0.0024304393180366035))"
30,"([], np.float64(0.0034597238056806178))","([], np.float64(0.0034606577555982287))"
31,"([], np.float64(5.080341560744829e-05))","([], np.float64(5.9410723086462426e-05))"
32,"([], np.float64(0.000108516807633339))","([], np.float64(0.00010963691364357722))"
33,"([], np.float64(0.0007882876389809537))","([], np.float64(0.0007857623847764561))"
34,"([], np.float64(0.0008028185726255446))","([], np.float64(0.0008045918840571264))"
35,"([], np.float64(0.012084554383094748))","([], np.float64(0.012073467117430292))"
36,"([], np.float64(0.0004441537823292353))","([], np.float64(0.00040995071220918666))"
37,"([], np.float64(2.033936389983504e-05))","([], np.float64(2.7194990285330864e-05))"
38,"([], np.float64(9.178529882156749e-06))","([], np.float64(1.4648716596677748e-05))"
39,"([], np.float64(0.0024963234480923635))","([], np.float64(0.0024939892106277117))"
