run_id,LassoNet,XGBoost,RF
0,"([], np.float64(0.0016954628728416687))","([], np.float64(0.0009303846820640005))","([np.int64(35)], np.float64(0.46190328474180564))"
1,"([], np.float64(0.00045190590217242255))","([], np.float64(0.0016066946554727038))","([np.int64(41), np.int64(46)], np.float64(0.2486834838437933))"
2,"([], np.float64(0.01258880642538879))","([], np.float64(0.01263907874067849))","([np.int64(12), np.int64(16), np.int64(23), np.int64(25), np.int64(30), np.int64(47)], np.float64(0.12741303239020238))"
3,"([], np.float64(0.004760914422896612))","([], np.float64(0.0037025584644719083))","([], np.float64(0.0037025584644719083))"
4,"([], np.float64(0.007281654280444415))","([], np.float64(0.0032549442607160976))","([np.int64(10)], np.float64(0.5521077274982024))"
5,"([], np.float64(0.00426744607395535))","([], np.float64(0.0011783873772130402))","([], np.float64(0.0011783873772130402))"
6,"([], np.float64(0.0013736161796708138))","([], np.float64(0.0012089032461253936))","([np.int64(31), np.int64(44)], np.float64(0.1910565457102109))"
7,"([], np.float64(0.002100882356428413))","([], np.float64(0.0012026085951536577))","([], np.float64(0.0012026085951536577))"
8,"([], np.float64(0.0010119323047641652))","([], np.float64(5.2098870684190195e-06))","([np.int64(10), np.int64(23)], np.float64(0.22391462405920687))"
9,"([], np.float64(0.0031562786610442317))","([], np.float64(0.003177951030301336))","([np.int64(10), np.int64(44)], np.float64(0.21044993658763927))"
10,"([], np.float64(0.003220896059849557))","([], np.float64(1.2129179240002876e-05))","([np.int64(30)], np.float64(0.4728879866278866))"
11,"([], np.float64(0.002613325810219891))","([], np.float64(0.006371369347011726))","([], np.float64(0.006371369347011726))"
12,"([], np.float64(0.00010373740310166968))","([], np.float64(0.0010023158328748799))","([np.int64(38)], np.float64(0.4794660482358165))"
13,"([], np.float64(3.857197439231103e-06))","([], np.float64(0.002264434783281157))","([np.int64(6), np.int64(20), np.int64(40), np.int64(47)], np.float64(0.12816225537377415))"
14,"([], np.float64(0.0017372603463314817))","([], np.float64(0.0006484184091118615))","([np.int64(13), np.int64(26), np.int64(40)], np.float64(0.19379897474086077))"
15,"([], np.float64(0.008294956125209975))","([], np.float64(0.002049995263895898))","([np.int64(12)], np.float64(0.43503528502063765))"
16,"([], np.float64(5.8858851289755876e-05))","([], np.float64(0.00034123919524558))","([], np.float64(0.00034123919524558))"
17,"([], np.float64(0.00064832367289722))","([], np.float64(1.5285821771770063e-06))","([np.int64(10), np.int64(26), np.int64(46)], np.float64(0.18879630425845154))"
18,"([], np.float64(0.0018368091943568587))","([], np.float64(0.003307146774053143))","([np.int64(25)], np.float64(0.41615323748373895))"
19,"([], np.float64(0.0029599344328561927))","([], np.float64(0.00127562798023596))","([], np.float64(0.00127562798023596))"
20,"([], np.float64(0.002018958973977414))","([], np.float64(0.0005740236707133244))","([], np.float64(0.0005740236707133244))"
21,"([], np.float64(0.005929347599832546))","([], np.float64(0.0005836994893501048))","([np.int64(5), np.int64(18), np.int64(24), np.int64(33), np.int64(45)], np.float64(0.1519488754082128))"
22,"([], np.float64(0.00012889388827072926))","([], np.float64(0.0001081380389207501))","([], np.float64(0.0001081380389207501))"
23,"([], np.float64(0.0035061084924967734))","([], np.float64(0.0023660449710325667))","([np.int64(35), np.int64(37)], np.float64(0.2224543596157415))"
24,"([], np.float64(0.0002789885387279867))","([], np.float64(9.689505717925062e-05))","([np.int64(17)], np.float64(0.46489240830092593))"
25,"([], np.float64(0.004614239675916565))","([], np.float64(0.0013995302192101424))","([np.int64(15), np.int64(30)], np.float64(0.24256973788982866))"
26,"([], np.float64(0.000455814707899016))","([], np.float64(0.0001842780900720063))","([np.int64(6), np.int64(11), np.int64(25), np.int64(28), np.int64(40)], np.float64(0.14167333336512503))"
27,"([], np.float64(0.0011298215020270064))","([], np.float64(0.0018132986066193774))","([], np.float64(0.0018132986066193774))"
28,"([], np.float64(0.0027333446109384517))","([], np.float64(0.0004969128446613194))","([np.int64(38)], np.float64(0.5153688170406654))"
29,"([], np.float64(0.0006911805265839011))","([], np.float64(0.002466013200612494))","([np.int64(8)], np.float64(0.4883204683616236))"
30,"([], np.float64(0.001328060936507447))","([], np.float64(0.003500476279348846))","([np.int64(39)], np.float64(0.4677372203533499))"
31,"([], np.float64(3.8416729930768057e-05))","([], np.float64(5.426208724757952e-05))","([np.int64(24), np.int64(45)], np.float64(0.2366224004651355))"
32,"([], np.float64(0.0035010474903316435))","([], np.float64(0.00011738032348647744))","([np.int64(1), np.int64(4), np.int64(11)], np.float64(0.15019273582264014))"
33,"([], np.float64(0.0021146272677439325))","([], np.float64(0.0008080990470688411))","([], np.float64(0.0008080990470688411))"
34,"([], np.float64(0.0020567583553302016))","([], np.float64(0.0008286610633057803))","([np.int64(20), np.int64(33)], np.float64(0.22110656047070734))"
35,"([], np.float64(0.018303488082040076))","([], np.float64(0.012170227520828249))","([], np.float64(0.012170227520828249))"
36,"([], np.float64(0.0007093701673166614))","([], np.float64(0.0004269136938963986))","([np.int64(6), np.int64(15), np.int64(21), np.int64(38), np.int64(43)], np.float64(0.11151056794314876))"
37,"([], np.float64(0.00043357568671553715))","([], np.float64(2.3531417811222677e-05))","([np.int64(5)], np.float64(0.5409119134991401))"
38,"([], np.float64(0.0023581257923691035))","([], np.float64(1.1994271149028183e-05))","([np.int64(22)], np.float64(0.4953501420448796))"
39,"([], np.float64(9.490790953318398e-05))","([], np.float64(0.0024502912230986783))","([np.int64(9), np.int64(28)], np.float64(0.24658293058079))"
40,"([], np.float64(0.00012120546854532677))","([], np.float64(4.54171661311183e-05))","([np.int64(14), np.int64(32), np.int64(45)], np.float64(0.14824868036240743))"
41,"([], np.float64(6.331106721152446e-05))","([], np.float64(3.689202323552341e-07))","([np.int64(34)], np.float64(0.41832726356787475))"
42,"([], np.float64(0.0006087819288060903))","([], np.float64(0.0011352885729366516))","([np.int64(7), np.int64(15), np.int64(22)], np.float64(0.1826120573442467))"
43,"([], np.float64(0.00019372506801131062))","([], np.float64(4.43401004265325e-05))","([np.int64(11), np.int64(44), np.int64(49)], np.float64(0.15465513509305248))"
44,"([], np.float64(3.7398928754761585e-05))","([], np.float64(0.001393612565764542))","([], np.float64(0.001393612565764542))"
45,"([], np.float64(0.004331632105190275))","([], np.float64(0.005274729236976185))","([], np.float64(0.005274729236976185))"
46,"([], np.float64(0.0005551685085869451))","([], np.float64(0.000686455712494294))","([np.int64(24)], np.float64(0.5831724216113096))"
